onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.3241	14.5441	alone	f49.jpg	180	0.0023	2	2.6043	1	5.9985	buy	buy	10.9987	11.6639
15.8681	11.7295	together	f170.jpg	842	0.0169	2	2.7919	2	20.7152	notbuy	notbuy	25.7153	26.4732
27.5977	12.1707	together	a40.png	850	0.0286	3	1.4886	1	32.1296	buy	notbuy	37.1297	37.6530
39.7683	17.5823	alone	n76.png	108	0.0408	2	2.4848	1	44.2517	buy	na	50.2519	51.1418
57.3507	12.6381	together	m107.jpg	790	0.0584	3	1.8704	1	63.2441	buy	notbuy	68.2443	68.8567
69.9887	10.5005	together	f40.png	590	0.0710	2	2.4680	2	74.4429	notbuy	buy	78.4430	79.3816
80.4892	9.5467	together	a75.png	8000	0.0815	3	2.6775	2	85.1438	notbuy	notbuy	88.1439	88.9856
90.0359	10.9218	alone	f6.png	280	0.0910	1	2.0650	2	95.0605	notbuy	notbuy	99.0607	99.8315
100.9577	11.0358	together	n46.png	267	0.1020	2	2.4110	2	105.3080	notbuy	notbuy	108.3082	108.8605
111.9935	11.4339	together	n74.jpg	550	0.1130	4	2.5780	1	116.5106	buy	buy	119.5107	120.2574
123.4274	13.7263	together	m81.jpg	590	0.1244	1	2.0484	2	127.4101	notbuy	notbuy	133.4103	134.0293
137.1537	10.6048	together	a66.png	575	0.1382	3	2.4652	1	141.5233	buy	notbuy	145.5235	146.6552
147.7585	12.2673	alone	a55.png	430	0.1488	2	2.6228	1	152.2661	buy	notbuy	158.2663	158.8682
160.0259	10.9481	alone	f26.png	249	0.1610	2	2.8460	2	164.7445	notbuy	buy	168.7446	169.8671
170.9740	12.4900	together	f81.jpg	490	0.1720	2	2.7050	1	175.5368	buy	buy	180.5369	181.3850
183.4639	9.8591	alone	a86.png	990	0.1845	3	2.3065	1	187.6147	buy	buy	190.6148	191.2269
193.3231	9.7933	together	m92.jpg	130	0.1943	2	2.2163	2	198.4037	notbuy	notbuy	201.4039	202.0489
203.1163	12.2303	together	f104.jpeg	799	0.2041	2	3.5521	1	208.5236	buy	buy	213.5238	214.2038
215.3466	10.5917	together	f108.jpg	95	0.2163	1	2.6063	2	220.8035	notbuy	notbuy	223.8036	224.8427
225.9383	12.3485	alone	m101.jpg	490	0.2269	2	2.6459	1	230.3891	buy	notbuy	235.3893	236.1489
238.2868	11.0767	together	f171.jpg	425	0.2393	3	2.6193	1	242.7221	buy	notbuy	247.7222	248.2226
249.3635	12.5399	together	n92.png	599	0.2504	4	3.0664	1	254.2383	buy	buy	260.2384	260.7994
261.9034	13.7847	together	n10.jpg	750	0.2629	2	3.0539	2	267.7686	notbuy	notbuy	273.7687	274.5514
275.6881	11.6691	together	n3.png	940	0.2767	4	3.1627	1	281.6372	buy	buy	285.6374	286.2494
287.3572	12.6443	together	m86.jpg	390	0.2884	1	3.0654	2	292.1866	notbuy	notbuy	298.1868	298.8882
300.0015	9.7308	together	f126.jpg	1122	0.3010	4	2.8800	1	304.6351	buy	buy	307.6353	308.7061
309.7324	10.2676	together	a35.png	1200	0.3107	3	3.1017	1	316.6024	buy	buy	321.6026	322.2170
