onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0710	11.6564	alone	f151.jpg	2385	0.0021	3	1.9791	2	5.1018	notbuy	buy	10.1020	10.6412
12.7274	10.3092	together	m68.jpg	290	0.0137	4	1.5927	1	16.3821	buy	buy	20.3822	20.9082
23.0366	11.1029	together	a26.png	2650	0.0240	4	1.3650	1	26.4275	buy	buy	32.4276	33.0351
34.1396	11.7844	together	f174.jpg	1350	0.0351	4	2.0431	1	38.2134	buy	buy	44.2135	44.8119
45.9239	8.9108	together	f175.jpg	757	0.0469	3	2.2689	1	50.1969	buy	notbuy	53.1970	53.7650
54.8347	11.1281	together	a46.png	235	0.0558	4	1.5918	1	59.4298	buy	notbuy	64.4300	64.8427
65.9628	10.7163	together	m44.png	660	0.0670	4	1.1980	1	70.1423	buy	notbuy	75.1425	75.6457
76.6791	10.9185	together	f47.jpg	250	0.0777	3	2.4667	1	81.0957	buy	notbuy	86.0959	86.5516
87.5976	9.7865	together	f180.jpg	578	0.0886	3	2.0256	1	91.5919	buy	buy	94.5920	95.3096
97.3841	11.2716	together	f34.png	199	0.0984	2	2.6284	2	101.9614	notbuy	notbuy	106.9616	107.5276
108.6558	9.7382	alone	f116.jpg	869	0.1097	3	2.0687	1	112.6439	buy	buy	115.6440	116.3236
118.3940	8.7473	together	f145.jpg	4080	0.1194	3	2.1334	2	122.4577	notbuy	notbuy	125.4578	126.0974
127.1413	12.3485	together	n47.png	420	0.1281	1	2.8281	2	131.8936	notbuy	notbuy	136.8938	137.3833
139.4898	9.0434	alone	n64.jpg	400	0.1405	2	2.4765	2	143.8600	notbuy	notbuy	146.8602	147.4992
148.5332	12.2765	alone	n79.jpg	1980	0.1495	4	2.5355	1	152.9546	buy	notbuy	158.9548	159.6902
160.8096	11.1309	alone	a57.png	440	0.1618	3	2.6148	1	165.2939	buy	buy	169.2940	169.8321
171.9405	9.4508	together	m46.png	1980	0.1729	4	1.8339	1	175.6586	buy	buy	178.6587	179.3090
181.3913	10.9240	alone	f122.jpg	1122	0.1824	2	2.4744	2	185.7153	notbuy	buy	190.7154	191.2242
192.3153	12.8249	alone	m67.png	45	0.1933	3	3.3703	1	197.5233	buy	buy	203.5235	204.0358
205.1401	11.4298	together	m89.jpg	390	0.2061	2	1.9811	2	208.9724	notbuy	notbuy	214.9726	215.4879
216.5699	10.3287	together	m6.png	45000	0.2176	4	2.3896	1	220.7898	buy	notbuy	224.7900	225.7627
226.8987	9.1556	together	m7.png	150	0.2279	3	2.6709	1	231.3877	buy	notbuy	234.3878	234.9537
236.0543	10.5676	alone	f200.jpg	590	0.2371	2	3.1851	2	241.0316	notbuy	buy	245.0318	245.5156
246.6219	12.4109	together	a29.png	2335	0.2476	3	2.8396	1	252.2886	buy	notbuy	257.2887	257.9905
259.0328	12.3557	together	f71.jpg	39	0.2600	2	2.9990	1	264.8382	buy	buy	269.8383	270.2786
271.3885	11.9586	together	f165.jpg	990	0.2724	2	2.5194	2	275.6691	notbuy	notbuy	281.6693	282.2304
283.3471	12.8238	alone	f164.jpg	1090	0.2843	1	3.3503	2	288.4563	notbuy	notbuy	292.4565	293.0753
296.1710	13.3917	alone	m58.png	2250	0.2972	2	2.8172	2	300.7176	notbuy	notbuy	306.7178	307.4485
309.5626	10.4374	together	m77.jpg	590	0.3106	1	2.4966	2	313.8195	notbuy	notbuy	319.8197	320.5254
