onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0108	10.2152	alone	n36.png	529	0.0010	3	1.7060	2	4.7777	notbuy	notbuy	7.7779	8.9118
10.2260	10.4210	together	f100.jpeg	1710	0.0112	3	2.7192	2	16.0000	notbuy	notbuy	19.0001	19.5028
20.6470	11.4370	together	f44.jpg	2800	0.0216	1	1.8406	2	25.5144	notbuy	notbuy	30.5146	31.0407
32.0840	9.9367	together	a50.png	340	0.0331	2	3.4151	2	37.5141	notbuy	na	40.5143	40.9817
42.0206	14.1935	alone	f39.png	29	0.0430	3	5.6320	1	49.6497	buy	buy	54.6499	55.1046
56.2142	12.0577	together	f189.jpg	590	0.0572	2	3.3952	2	61.6267	notbuy	buy	66.6268	67.1265
68.2719	14.4035	together	n5.png	1500	0.0693	3	2.7173	2	74.9957	notbuy	notbuy	80.9959	81.5216
82.6754	15.4303	together	f198.jpg	590	0.0837	2	2.8327	2	90.5286	notbuy	notbuy	96.5287	97.0064
98.1057	14.2371	together	m26.png	16590	0.0991	3	3.1311	2	106.2278	notbuy	notbuy	110.2280	111.2412
112.3428	13.3548	together	m10.jpg	290	0.1133	2	2.7153	2	118.0106	notbuy	buy	124.0108	124.5921
125.6976	10.6959	together	m88.jpg	390	0.1267	2	4.1287	2	131.7559	notbuy	notbuy	134.7560	135.3121
136.3935	11.5132	together	a24.png	2800	0.1374	1	2.0754	2	141.4080	notbuy	notbuy	146.4081	146.8390
147.9067	12.7949	alone	n40.png	219	0.1489	2	3.0459	2	153.8582	notbuy	buy	158.8583	159.6279
160.7016	14.3399	together	m9.jpg	290	0.1617	2	2.2757	2	168.9252	notbuy	buy	172.9254	173.9230
175.0415	15.2792	together	a14.png	4800	0.1760	3	2.5440	2	182.5055	notbuy	notbuy	188.5056	189.2280
190.3207	14.5315	together	f132.jpg	1301	0.1913	3	2.9993	2	197.2050	notbuy	notbuy	203.2051	203.7818
204.8521	10.4602	together	a73.png	810	0.2059	3	3.5769	2	210.2717	notbuy	notbuy	213.2719	214.2125
215.3124	12.7045	together	f171.jpg	425	0.2163	3	4.2073	2	221.3549	notbuy	buy	226.3551	226.9094
228.0169	12.0150	together	a32.png	1540	0.2290	1	2.5350	2	233.3892	notbuy	notbuy	238.3893	238.9213
240.0320	13.0259	together	n66.png	3750	0.2410	3	2.6120	2	246.4719	notbuy	notbuy	251.4721	252.0353
253.0579	10.8206	together	a4.png	100	0.2541	1	3.3481	2	259.2215	notbuy	notbuy	262.2217	262.8102
263.8785	13.3236	together	a53.png	395	0.2649	3	4.8359	2	270.5013	notbuy	buy	275.5014	276.1681
277.2021	9.7633	alone	f91.jpg	259	0.2782	1	3.3472	2	282.2928	notbuy	notbuy	285.2929	285.9202
286.9654	11.8508	together	f49.jpg	180	0.2880	2	4.3280	2	293.0522	notbuy	notbuy	296.0524	297.7190
298.8163	12.3926	together	n59.jpg	19900	0.2998	4	3.8368	2	304.4004	notbuy	notbuy	309.4006	310.1670
311.2089	8.7911	alone	a1.png	30	0.3122	3	3.9722	2	316.8929	notbuy	notbuy	319.8931	321.0958
