onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0500	10.8036	together	m26.png	16590	0.0021	1	1.9471	2	5.0875	notbuy	notbuy	9.0876	9.7867
11.8536	16.9027	together	m10.jpg	290	0.0129	2	1.5599	2	15.4447	notbuy	na	21.4451	22.6299
28.7563	10.5736	together	m88.jpg	390	0.0298	1	1.9148	2	34.7135	notbuy	notbuy	37.7137	38.2899
39.3299	10.9962	together	a24.png	2800	0.0403	2	2.5773	2	43.9102	notbuy	notbuy	48.9104	49.2837
50.3260	11.8614	alone	n40.png	219	0.0513	3	1.7533	1	54.0598	buy	buy	59.0600	61.1378
62.1875	11.7342	together	m9.jpg	290	0.0632	1	1.2842	2	67.4958	notbuy	notbuy	71.4960	71.8648
73.9217	12.9471	together	a14.png	4800	0.0749	3	2.7459	2	78.6453	notbuy	buy	84.6455	85.8306
86.8688	20.1629	together	f132.jpg	1301	0.0879	1	5.3289	2	94.1575	notbuy	na	100.1576	100.8907
107.0318	11.3070	together	a73.png	810	0.1080	3	3.7780	2	112.7606	notbuy	notbuy	115.7608	116.2767
118.3388	13.1453	together	f171.jpg	425	0.1193	3	1.9263	1	122.1935	buy	buy	127.1937	130.4476
131.4840	10.7374	together	a32.png	1540	0.1325	1	1.7355	2	135.1398	notbuy	notbuy	140.1400	141.1315
142.2214	10.9465	together	n66.png	3750	0.1432	1	1.2682	2	145.3760	notbuy	notbuy	150.3762	151.1186
153.1679	8.2569	together	a4.png	100	0.1542	1	1.2952	2	156.3588	notbuy	notbuy	159.3589	160.3876
161.4248	11.7795	together	a53.png	395	0.1624	3	2.9654	1	166.2720	buy	buy	171.2721	172.1675
173.2043	10.6043	alone	f91.jpg	259	0.1742	2	3.1842	2	178.2363	notbuy	notbuy	181.2365	182.7783
183.8085	9.1908	together	f49.jpg	180	0.1848	1	1.5888	2	188.2743	notbuy	notbuy	191.2745	191.9572
192.9994	12.0545	together	n59.jpg	19900	0.1940	1	3.3970	2	198.2560	notbuy	notbuy	203.2562	204.0153
205.0539	9.4926	alone	a1.png	30	0.2061	3	2.8371	1	209.7166	buy	notbuy	212.7168	213.4983
214.5465	19.7619	alone	f184.jpg	290	0.2155	4	4.2945	1	220.6514	buy	na	226.6516	227.1983
234.3085	12.8380	alone	a35.png	1200	0.2353	3	5.0533	2	241.1497	notbuy	notbuy	245.1499	246.1082
247.1464	13.6012	together	m36.png	405	0.2481	3	2.4781	1	251.4189	buy	notbuy	254.4190	255.4061
260.7476	11.1555	alone	f21.png	855	0.2617	3	1.7807	2	264.3000	notbuy	buy	269.3002	269.8771
271.9031	17.2936	alone	f47.jpg	250	0.2729	1	2.2439	2	275.9071	notbuy	na	281.9073	283.0843
289.1968	18.2265	together	a52.png	390	0.2902	3	2.6862	2	293.6507	notbuy	na	299.6509	300.2990
307.4233	12.5767	together	f121.jpg	748	0.3084	3	1.9264	2	311.0862	notbuy	buy	315.0864	315.6638
