onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0656	10.1556	together	f150.jpg	770	0.0021	2	1.6311	2	4.7685	notbuy	notbuy	7.7687	9.1689
11.2212	12.1200	together	f103.jpeg	399	0.0122	1	1.5722	2	14.8305	notbuy	notbuy	18.8306	22.2950
23.3412	8.8617	together	f162.jpg	5480	0.0243	1	1.6783	2	27.0467	notbuy	notbuy	30.0469	31.1660
32.2030	12.0076	together	m50.jpg	980	0.0332	2	1.6962	2	35.9082	notbuy	notbuy	41.9083	43.1849
44.2105	13.5343	together	f51.jpg	250	0.0452	2	4.7512	2	50.9624	notbuy	notbuy	55.9626	56.7029
57.7448	10.3349	alone	f6.png	280	0.0587	4	1.5777	1	62.3017	buy	buy	65.3019	66.0379
68.0798	11.6374	together	m67.png	45	0.0691	3	2.6821	2	72.7436	notbuy	buy	77.7438	78.6768
79.7171	11.0768	alone	m73.jpg	127	0.0807	3	1.5227	2	83.1885	notbuy	buy	88.1887	89.7538
90.7939	10.2450	alone	a65.png	570	0.0918	2	2.7548	2	95.4978	notbuy	buy	99.4980	100.0127
101.0390	12.0694	alone	f167.png	2580	0.1020	3	1.7590	2	104.7185	notbuy	notbuy	110.7187	112.0777
113.1084	9.3603	alone	m40.jpg	770	0.1141	3	1.2731	1	116.3093	buy	notbuy	120.3095	121.4237
122.4687	14.3881	together	m31.png	1799	0.1235	1	4.2335	2	128.6260	notbuy	notbuy	134.6262	135.4947
136.8568	10.5417	alone	n75.png	1650	0.1379	2	1.6919	2	140.4413	notbuy	notbuy	145.4415	146.3596
147.3985	9.7519	together	m92.jpg	130	0.1484	1	1.1884	2	150.4918	notbuy	notbuy	155.4920	156.1156
157.1504	12.2242	together	f169.png	1780	0.1582	1	1.4312	2	161.4915	notbuy	notbuy	165.4916	168.3346
169.3746	10.5010	together	f71.jpg	39	0.1704	1	1.3654	2	172.6244	notbuy	notbuy	177.6246	178.8146
179.8756	10.5070	together	f194.jpg	590	0.1809	1	3.8809	2	185.6238	notbuy	notbuy	188.6240	189.3634
190.3826	10.1339	together	f77.jpg	390	0.1914	3	1.7394	1	194.9901	buy	buy	197.9903	198.4654
200.5165	9.7750	alone	m41.jpg	830	0.2015	2	2.7255	2	205.0728	notbuy	notbuy	208.0730	209.2333
210.2915	8.4873	alone	n35.png	1190	0.2113	1	1.1233	2	214.2456	notbuy	notbuy	217.2457	217.7434
218.7789	8.0709	together	n64.jpg	400	0.2198	1	1.3808	1	221.9875	buy	notbuy	224.9877	225.7984
226.8498	11.4960	alone	f22.png	2052	0.2278	1	1.3868	2	230.0333	notbuy	notbuy	236.0335	237.0563
238.3458	10.2836	together	f153.png	2180	0.2393	3	1.6843	1	241.8350	buy	buy	246.8352	247.5802
248.6294	13.0273	together	m89.jpg	390	0.2496	1	3.1916	2	253.6199	notbuy	notbuy	258.6201	259.5962
261.6566	12.3330	together	f174.jpg	1350	0.2627	1	5.3717	2	268.8196	notbuy	notbuy	271.8198	272.9551
273.9897	11.7709	together	a89.png	299	0.2750	1	1.4330	2	277.1870	notbuy	notbuy	283.1872	283.7072
285.7606	11.9390	together	m72.jpg	3978	0.2868	1	1.2608	2	289.7998	notbuy	notbuy	295.8000	296.3950
297.6996	10.9668	together	f40.png	590	0.2987	2	1.5397	2	302.0027	notbuy	notbuy	307.0029	307.6221
308.6665	11.3335	together	m104.jpg	590	0.3097	1	1.4027	1	311.8190	buy	notbuy	316.8191	318.1741
