onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0889	9.7205	together	a20.png	3400	0.0011	2	2.1451	2	4.3042	notbuy	notbuy	8.3044	8.7043
9.8094	8.9912	alone	n6.png	150	0.0108	3	2.3668	1	14.2138	buy	buy	17.2140	17.6803
18.8006	11.6714	together	m103.jpg	490	0.0198	1	0.9688	2	22.8132	notbuy	notbuy	28.8134	29.3402
30.4720	13.5719	together	a16.png	4250	0.0315	1	1.8375	2	36.3332	notbuy	notbuy	41.3334	42.9402
44.0439	9.2853	together	a22.png	3000	0.0450	3	1.6970	2	47.7455	notbuy	notbuy	51.7456	52.2779
53.3292	12.9902	alone	n47.png	420	0.0543	1	2.3833	2	58.7039	notbuy	notbuy	64.7041	65.2217
66.3194	11.6979	together	f175.jpg	757	0.0673	1	2.1643	1	71.4590	buy	buy	76.4592	76.9406
78.0172	12.6431	together	f32.png	472	0.0790	2	2.0890	2	86.1261	notbuy	notbuy	89.1263	89.5727
90.6603	11.6294	alone	a84.png	1500	0.0917	3	2.1447	1	94.7569	buy	buy	100.7570	101.2283
102.2897	8.9143	alone	f195.jpg	290	0.1033	1	1.4533	2	106.7086	notbuy	notbuy	109.7088	110.1472
111.2040	11.9126	together	f122.jpg	1122	0.1122	1	1.4032	2	116.5471	notbuy	notbuy	121.5473	122.0041
123.1166	12.5381	alone	m4.png	780	0.1241	3	2.1101	1	128.1735	buy	na	134.1737	134.5599
135.6547	16.3878	together	f75.jpg	790	0.1367	3	1.8317	1	146.5073	buy	notbuy	150.5075	150.9637
152.0425	13.4059	alone	f193.jpg	590	0.1530	1	1.5320	2	158.5197	notbuy	notbuy	163.5199	164.3635
165.4484	13.0165	together	f24.png	1900	0.1664	1	2.5924	2	170.9138	notbuy	na	176.9139	177.3584
178.4649	18.2422	together	n57.png	4900	0.1795	1	1.7435	2	190.2019	notbuy	buy	195.2020	195.5731
196.7071	11.0818	together	f106.jpg	384	0.1977	1	2.6437	2	201.2049	notbuy	notbuy	206.2050	206.6580
207.7889	12.7128	alone	n1.png	19	0.2088	4	4.3418	1	213.9708	buy	buy	218.9710	219.4730
220.5017	10.0358	alone	a6.png	18000	0.2215	3	2.6045	1	224.9358	buy	buy	228.9360	229.4077
230.5375	9.8806	alone	f150.jpg	770	0.2315	1	1.7055	2	235.0831	notbuy	notbuy	238.0833	239.3756
240.4181	9.4953	together	f103.jpeg	399	0.2414	2	2.1644	2	244.4028	notbuy	notbuy	248.4030	248.8720
249.9134	8.4784	together	f162.jpg	5480	0.2509	1	2.1809	2	253.9005	notbuy	notbuy	256.9006	257.3474
258.3919	12.2883	together	m50.jpg	980	0.2594	3	2.0284	1	263.2352	buy	na	269.2354	269.6493
270.6802	15.8692	together	f51.jpg	250	0.2717	2	4.2497	2	279.7510	notbuy	notbuy	284.7512	285.4641
286.5494	9.7027	together	f6.png	280	0.2875	2	2.4795	2	291.7969	notbuy	notbuy	294.7971	295.2189
296.2521	12.2149	together	m67.png	45	0.2973	3	3.9213	1	301.9153	buy	buy	306.9154	307.4388
308.4670	11.5330	together	m73.jpg	127	0.3095	2	2.5245	2	312.7326	notbuy	buy	316.7328	317.2098
