onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0910	17.9747	together	a89.png	299	0.0021	1	1.2861	2	5.4460	notbuy	na	11.4462	11.9070
19.0656	13.2804	together	a11.png	5600	0.0201	2	1.6091	2	24.7477	notbuy	notbuy	29.7479	30.2560
32.3461	12.2283	together	f201.jpg	590	0.0333	3	2.4413	2	36.8124	notbuy	notbuy	41.8125	42.4449
44.5744	12.2332	together	a58.png	450	0.0456	1	2.5306	2	49.1099	notbuy	notbuy	54.1101	54.6968
56.8075	9.7180	together	f152.png	2880	0.0578	1	2.2628	2	61.0611	notbuy	notbuy	65.0612	65.4709
66.5255	9.1522	together	a28.png	2350	0.0675	3	1.6375	2	70.1420	notbuy	notbuy	73.1421	73.6155
75.6777	11.4155	together	a88.png	650	0.0767	2	3.5857	1	81.2449	buy	buy	85.2451	86.0295
87.0933	9.4502	together	f76.jpg	890	0.0881	1	1.8791	2	90.9444	notbuy	notbuy	93.9446	94.4804
96.5435	12.0818	together	m74.jpg	590	0.0975	3	2.6225	2	101.1259	notbuy	notbuy	107.1261	107.5463
108.6253	11.9621	alone	a22.png	3000	0.1096	2	2.4236	2	112.9729	notbuy	notbuy	117.9731	118.5103
120.5874	8.6566	together	n70.png	1100	0.1216	1	2.1966	2	124.6831	notbuy	notbuy	127.6832	128.1991
129.2440	11.3539	alone	f176.jpg	672	0.1302	1	1.7622	2	133.9387	notbuy	notbuy	138.9389	139.4840
140.5979	11.3863	alone	f198.jpg	590	0.1416	1	1.7676	2	145.2749	notbuy	notbuy	150.2751	150.8738
151.9842	11.7523	alone	m31.png	1799	0.1530	2	3.1050	2	156.9743	notbuy	notbuy	160.9745	161.6399
163.7365	13.1462	alone	f103.jpeg	399	0.1647	1	1.7477	2	169.3771	notbuy	notbuy	175.3772	175.8136
176.8827	11.3093	together	m41.jpg	830	0.1779	3	2.1469	2	180.8889	notbuy	notbuy	184.8890	186.1005
188.1920	16.0337	alone	n63.jpg	586	0.1892	1	1.5852	2	193.6694	notbuy	notbuy	199.6695	200.1074
204.2258	11.2182	together	n13.png	100	0.2052	1	1.5292	2	207.5807	notbuy	buy	212.5809	213.2853
215.4440	13.0408	together	n33.png	599	0.2164	1	3.6974	2	220.9687	notbuy	notbuy	225.9688	226.3982
228.4848	13.1492	together	n21.png	382	0.2295	3	5.8605	2	236.1684	notbuy	notbuy	240.1685	240.5701
241.6340	12.9414	together	f189.jpg	590	0.2426	2	4.3316	2	247.7708	notbuy	notbuy	252.7710	253.4649
254.5754	13.9764	together	m35.png	499	0.2556	3	2.0486	0	258.4203	na	notbuy	261.4205	267.4208
268.5518	9.8718	alone	f67.png	799	0.2696	1	3.5816	2	273.9170	notbuy	notbuy	276.9171	277.3767
278.4236	12.5842	alone	f52.jpg	250	0.2794	1	5.2744	2	286.4704	notbuy	notbuy	289.4706	289.9746
291.0078	9.0900	together	m43.jpg	2500	0.2920	3	2.5340	1	295.2840	buy	notbuy	298.2842	299.0455
300.0978	19.9022	alone	f172.jpg	425	0.3011	1	2.5031	2	305.3659	notbuy	notbuy	308.3660	308.8525
