onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0854	16.1253	together	m15.png	11199	0.0021	3	3.7661	1	7.9380	buy	notbuy	13.9382	16.0993
17.2107	9.7864	together	m23.png	896	0.0182	2	3.2552	2	22.4941	notbuy	notbuy	25.4942	25.9272
26.9971	12.4408	alone	f72.jpg	39	0.0280	2	2.5260	2	31.5254	notbuy	buy	36.5255	37.3361
39.4380	14.2557	together	f80.jpg	590	0.0404	4	3.8144	2	45.2595	notbuy	notbuy	51.2596	51.5920
53.6936	9.6608	together	a1.png	30	0.0547	1	1.8697	2	57.5597	notbuy	notbuy	61.5599	62.3019
63.3544	10.5744	together	f120.jpg	833	0.0644	1	1.7514	2	67.0954	notbuy	notbuy	72.0956	72.8588
73.9289	11.3020	alone	a32.png	1540	0.0749	1	0.8419	2	76.7186	notbuy	notbuy	82.7188	83.1327
85.2309	10.9489	together	a89.png	299	0.0862	3	2.5312	1	89.7278	buy	notbuy	94.7280	95.0917
96.1798	15.1098	together	a11.png	5600	0.0972	3	4.5412	1	102.6765	buy	notbuy	107.6766	110.1474
111.2896	10.6602	together	f201.jpg	590	0.1123	3	2.0943	1	115.3268	buy	buy	120.3270	120.8333
121.9498	10.3637	together	a58.png	450	0.1229	1	1.9859	2	125.8595	notbuy	notbuy	129.8597	130.1993
132.3135	9.8428	together	f152.png	2880	0.1333	3	3.4053	1	137.6411	buy	notbuy	140.6413	141.0851
142.1562	11.9688	together	a28.png	2350	0.1432	4	3.1882	1	147.2567	buy	buy	151.2569	152.0041
154.1251	11.2239	together	a88.png	650	0.1551	2	4.1361	2	160.1377	notbuy	notbuy	163.1378	164.2519
165.3490	12.3395	together	f76.jpg	890	0.1663	4	2.0763	1	169.3060	buy	buy	175.3062	176.5919
177.6885	15.0648	together	m74.jpg	590	0.1787	1	5.2407	2	184.8069	notbuy	notbuy	189.8071	190.6407
192.7533	10.2904	alone	a22.png	3000	0.1938	3	2.3688	1	196.9482	buy	notbuy	199.9484	200.9436
203.0436	13.1626	together	n70.png	1100	0.2040	2	3.7350	2	208.6226	notbuy	notbuy	213.6228	214.0814
216.2063	13.6585	alone	f176.jpg	672	0.2172	2	3.8142	2	221.8291	notbuy	notbuy	226.8293	228.7113
229.8647	11.7781	alone	f198.jpg	590	0.2309	4	2.0479	1	233.7157	buy	buy	237.7158	238.5052
241.6428	15.9800	alone	m31.png	1799	0.2426	2	4.6706	2	248.0995	notbuy	buy	254.0997	254.4931
257.6228	10.3930	alone	f103.jpeg	399	0.2586	1	2.1266	2	262.5295	notbuy	notbuy	266.5297	266.9180
268.0158	11.5350	together	m41.jpg	830	0.2690	1	1.2520	2	272.0686	notbuy	notbuy	278.0687	278.4289
279.5508	12.5807	alone	n63.jpg	586	0.2806	3	3.1516	1	284.4452	buy	buy	289.4454	289.9617
292.1316	11.5813	together	n13.png	100	0.2931	1	1.3151	2	297.2353	notbuy	notbuy	302.2355	302.6219
303.7129	16.2871	together	n33.png	599	0.3047	1	4.1917	2	310.6501	notbuy	notbuy	314.6502	315.5845
