onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.1280	23.3868	together	n37.png	1690	0.0021	4	9.4251	1	12.6190	buy	na	18.6192	19.3757
24.5148	12.1347	together	a84.png	1500	0.0255	1	1.6095	2	29.1640	notbuy	buy	34.1641	34.5636
36.6495	18.3154	alone	f79.jpg	237	0.0376	1	1.5076	2	42.1858	notbuy	na	48.1860	48.8435
54.9649	12.8112	alone	m87.jpg	390	0.0560	3	2.9060	2	59.8468	notbuy	notbuy	64.8470	65.6672
67.7762	12.3712	together	f191.jpg	590	0.0688	1	5.6668	2	75.4285	notbuy	notbuy	78.4287	79.0381
80.1473	16.3276	together	f134.jpg	306	0.0811	1	1.2321	1	83.3421	buy	na	89.3423	93.3387
96.4750	10.1452	alone	f39.png	29	0.0975	1	3.6965	2	102.1065	notbuy	notbuy	105.1067	105.5105
106.6201	13.0915	alone	m33.png	299	0.1076	4	4.6946	1	113.2456	buy	notbuy	118.2458	118.6034
119.7116	9.4287	alone	m54.jpg	1980	0.1207	4	1.6627	1	123.2913	buy	buy	127.2915	128.0972
129.1403	9.1893	alone	m28.png	2180	0.1301	4	1.4281	1	133.4935	buy	notbuy	136.4937	137.2671
138.3296	11.0250	alone	f185.jpg	290	0.1393	2	1.9473	2	142.1663	notbuy	notbuy	146.1665	148.2339
149.3546	13.0100	alone	m27.png	2270	0.1504	4	3.4504	1	154.6936	buy	notbuy	159.6937	161.2627
162.3646	23.1044	together	m96.jpg	790	0.1634	2	7.5834	2	171.8402	notbuy	na	177.8403	178.3055
185.4690	14.5894	together	a4.png	100	0.1865	1	2.6145	0	189.9562	na	notbuy	192.9564	198.9567
200.0585	11.8394	alone	a19.png	3550	0.2011	2	2.1141	2	204.0044	notbuy	buy	209.0045	210.8260
211.8978	12.8931	alone	m104.jpg	590	0.2129	3	1.3949	2	215.1118	notbuy	notbuy	220.1120	223.6817
224.7910	10.8176	alone	m47.jpg	1790	0.2258	4	1.3658	1	228.9817	buy	buy	233.9819	234.4907
235.6086	11.3703	together	n41.png	399	0.2366	3	2.2986	1	239.7205	buy	notbuy	243.7206	244.8454
246.9789	18.7018	together	a9.png	6000	0.2480	2	4.2590	2	253.0330	notbuy	na	259.0331	259.5212
265.6807	11.2287	alone	m90.jpg	130	0.2667	1	3.3657	1	270.8179	buy	notbuy	274.8181	275.8510
276.9095	11.9966	together	f22.png	2052	0.2779	1	1.6879	2	281.3850	notbuy	notbuy	286.3851	286.7919
288.9060	17.6426	alone	a12.png	5500	0.2899	4	2.0539	1	293.7192	buy	na	299.7193	302.4025
306.5486	13.4514	together	f58.png	310	0.3075	2	2.0035	2	310.3003	notbuy	notbuy	314.3004	315.3054
