onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0125	11.6257	together	f45.jpg	5900	0.0010	1	2.5340	2	4.6317	notbuy	notbuy	9.6319	10.2844
11.6382	12.5193	together	m100.jpg	790	0.0126	2	1.8846	2	16.5605	notbuy	notbuy	22.5607	23.1004
24.1575	11.3838	together	a87.png	750	0.0252	3	1.6172	2	27.8073	notbuy	buy	33.8075	34.3835
35.5413	11.2157	alone	p18.png	340	0.0365	3	2.2655	2	39.8066	notbuy	notbuy	44.8067	45.7284
46.7570	9.9423	together	m54.jpg	1980	0.0478	3	2.9718	2	51.7424	notbuy	buy	54.7425	55.5873
56.6992	10.3014	together	f149.jpg	770	0.0577	2	2.0447	2	60.7417	notbuy	notbuy	64.7419	65.9653
67.0006	11.0396	together	m34.png	189	0.0680	2	2.3970	2	71.3747	notbuy	notbuy	75.3749	77.0072
78.0402	11.8526	together	p33.jpg	800	0.0790	3	2.2000	2	82.2075	notbuy	notbuy	88.2077	88.8511
89.8928	11.6574	together	a40.png	850	0.0909	3	3.7229	2	95.5736	notbuy	notbuy	99.5738	100.5071
101.5501	12.5468	alone	n80.png	299	0.1026	2	4.3926	2	107.8691	notbuy	notbuy	111.8693	113.0531
114.0969	12.8971	alone	m96.jpg	790	0.1151	3	2.7891	2	118.8046	notbuy	buy	124.8048	125.9750
126.9941	11.4242	together	m39.jpg	740	0.1280	3	3.7070	2	132.6190	notbuy	notbuy	136.6192	137.3590
138.4183	10.0820	together	f54.png	2640	0.1394	2	2.1784	2	143.5219	notbuy	notbuy	146.5221	147.1979
148.5003	9.5497	alone	n16.png	159	0.1495	2	2.7645	2	153.1551	notbuy	notbuy	156.1553	157.0169
158.0500	12.5095	together	a77.png	7000	0.1591	2	2.9951	2	162.9366	notbuy	na	168.9367	169.5151
170.5596	18.6636	alone	m65.png	800	0.1716	2	2.9246	2	181.4380	notbuy	buy	187.4382	188.1929
189.2232	11.6455	alone	n50.png	1680	0.1902	3	2.4852	2	193.5423	notbuy	buy	198.5425	199.8168
200.8687	12.9208	together	m16.png	99	0.2019	3	2.8059	1	207.5363	buy	buy	211.5364	212.7537
213.7895	9.9529	together	m84.jpg	390	0.2148	2	1.4198	2	217.0522	notbuy	notbuy	222.0524	222.7067
223.7424	10.9795	together	n73.png	999	0.2247	2	2.4917	2	228.0677	notbuy	notbuy	233.0679	233.6866
234.7219	8.3187	together	f94.jpeg	899	0.2357	2	1.8827	2	238.4179	notbuy	notbuy	241.4181	242.0228
243.0405	12.4542	together	a86.png	990	0.2440	3	1.8830	2	247.7488	notbuy	buy	253.7489	254.4625
255.4948	12.8100	together	a88.png	650	0.2565	3	3.1795	2	260.4671	notbuy	na	266.4673	267.2898
268.3048	19.3508	alone	m61.png	1300	0.2693	3	2.2943	1	280.4819	buy	buy	285.4820	286.6305
287.6556	12.5714	together	a31.png	2000	0.2887	3	2.0707	2	294.5298	notbuy	buy	298.5300	299.1994
300.2270	12.4126	together	a80.png	3880	0.3012	3	1.9032	2	304.8980	notbuy	buy	310.8982	311.6094
312.6396	7.3604	together	m80.jpg	590	0.3136	1	3.8676	2	318.2478	notbuy	notbuy	323.2480	325.3034
