onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0202	13.8113	together	f154.jpg	3888	0.0010	1	1.5720	2	6.7139	notbuy	notbuy	10.7140	12.5292
13.8315	12.4624	alone	n65.png	4650	0.0148	3	1.9738	1	17.8196	buy	notbuy	23.8197	25.0972
26.2939	11.7502	together	n13.png	100	0.0273	3	1.7373	1	30.0542	buy	buy	36.0544	36.9403
38.0441	12.2055	together	f135.jpg	421	0.0390	1	1.6000	2	41.6561	notbuy	notbuy	47.6562	49.1580
50.2496	12.0602	alone	n10.jpg	750	0.0512	2	3.0912	2	55.3200	notbuy	notbuy	59.3201	61.2198
62.3098	9.2648	alone	f139.jpg	421	0.0633	1	1.3533	2	65.6308	notbuy	notbuy	69.6310	70.4817
71.5746	10.4068	together	m18.png	4880	0.0726	1	2.7976	2	76.3557	notbuy	notbuy	80.3559	80.8546
81.9814	13.4411	alone	f58.png	310	0.0830	2	2.7180	2	87.6594	notbuy	notbuy	93.6596	94.3074
95.4224	14.6558	alone	n30.png	799	0.0964	1	3.7284	2	101.0897	notbuy	notbuy	107.0898	109.0362
110.0782	12.3102	alone	n69.jpg	590	0.1111	3	2.6741	1	115.6778	buy	notbuy	120.6779	121.2950
122.3884	11.3029	together	f50.jpg	280	0.1234	2	2.7314	2	127.0533	notbuy	notbuy	132.0535	132.5770
133.6913	12.9193	together	a28.png	2350	0.1347	3	2.3407	2	138.9694	notbuy	buy	144.9696	145.4997
146.6107	12.5520	together	m87.jpg	390	0.1476	2	3.0766	2	151.5853	notbuy	notbuy	157.5855	158.0696
159.1626	11.0536	alone	f55.png	2050	0.1602	1	1.5962	2	162.6328	notbuy	notbuy	168.6330	169.1205
170.2162	9.8414	together	f81.jpg	490	0.1712	1	2.8302	2	174.9304	notbuy	notbuy	177.9306	178.9763
180.0576	12.4783	together	a79.png	4500	0.1811	3	3.4391	1	185.3638	buy	buy	189.3639	191.4392
192.5359	11.7480	together	n95.png	749	0.1935	1	2.2925	2	196.6833	notbuy	notbuy	202.6835	203.1830
204.2840	12.6969	together	n79.jpg	1980	0.2053	1	1.9643	2	210.1159	notbuy	notbuy	215.1161	215.8470
216.9809	10.0332	together	m6.png	45000	0.2180	4	3.2870	2	222.0987	notbuy	notbuy	225.0988	225.9589
227.0141	10.1815	alone	a48.png	250	0.2280	1	1.4940	2	231.3187	notbuy	buy	235.3189	236.1317
237.1956	14.0101	alone	m56.png	2450	0.2382	2	2.1462	2	242.1454	notbuy	buy	248.1455	250.1605
251.2057	9.5347	together	a83.png	2380	0.2522	3	2.2682	2	255.2806	notbuy	notbuy	259.2807	259.6923
260.7404	10.3593	alone	a8.png	8000	0.2617	3	1.9677	2	265.4982	notbuy	notbuy	269.4984	270.0532
271.0998	9.4703	together	f178.jpg	408	0.2721	1	1.4901	2	274.3627	notbuy	notbuy	278.3628	279.5061
280.5701	12.0101	together	a7.png	9000	0.2816	1	1.6116	2	284.9587	notbuy	notbuy	290.9589	291.4930
292.5802	9.8239	together	f76.jpg	890	0.2936	2	2.0016	2	297.3588	notbuy	notbuy	300.3590	301.3369
302.4041	17.5959	together	f157.jpg	5888	0.3034	1	2.6564	2	306.8113	notbuy	notbuy	311.8115	312.5607
