onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0104	14.4379	alone	a12.png	5500	0.0010	2	2.5360	2	5.6123	notbuy	na	11.6125	12.2791
14.4484	13.6823	together	f58.png	310	0.0154	2	3.8924	2	20.3834	notbuy	notbuy	24.3835	25.0639
28.1307	13.4919	alone	f137.jpg	421	0.0291	2	5.0751	2	35.2174	notbuy	notbuy	39.2175	39.5437
41.6226	12.9178	together	f113.jpg	247	0.0426	1	3.2196	2	46.8465	notbuy	notbuy	51.8467	52.2036
54.5404	9.7092	alone	a21.png	3180	0.0555	3	3.1315	2	59.6462	notbuy	notbuy	62.6464	63.2115
64.2496	11.2053	alone	m24.jpg	599	0.0652	2	2.6532	2	69.8945	notbuy	notbuy	72.8947	73.3994
75.4549	11.0286	alone	n80.png	299	0.0765	2	2.2725	2	80.7060	notbuy	notbuy	83.7062	84.4213
86.4835	12.7175	alone	n40.png	219	0.0875	3	2.6055	1	91.0257	buy	buy	97.0258	97.8532
99.2010	12.6983	alone	m100.jpg	790	0.1002	1	2.5322	2	103.6690	notbuy	notbuy	109.6692	110.8621
111.8994	18.0583	alone	m83.jpg	390	0.1129	2	4.6899	2	118.5064	notbuy	na	124.5066	124.8660
129.9577	10.0223	together	n95.png	749	0.1310	1	2.3660	2	134.2405	notbuy	notbuy	137.2406	137.9010
139.9800	11.6965	alone	n17.png	159	0.1410	3	2.3290	1	144.1979	buy	buy	149.1981	149.6387
151.6765	12.4799	alone	m61.png	1300	0.1527	4	2.1867	1	156.7557	buy	buy	161.7559	162.1276
164.1564	13.0425	together	a69.png	650	0.1652	1	2.7802	2	168.8240	notbuy	notbuy	174.8242	175.8896
177.1989	12.1525	together	f33.png	99	0.1782	1	3.3022	2	182.3735	notbuy	notbuy	187.3737	188.3145
189.3514	10.4058	alone	a3.png	85	0.1904	3	2.4534	1	193.6497	buy	buy	197.6498	198.0594
199.7572	12.1373	together	m16.png	99	0.2008	4	2.8988	1	204.5025	buy	buy	210.5027	210.8492
211.8945	10.6554	together	a77.png	7000	0.2129	1	2.3819	2	216.1190	notbuy	notbuy	221.1192	221.4971
222.5499	12.5776	together	n60.jpg	19900	0.2235	3	3.0585	2	227.4382	notbuy	notbuy	233.4384	234.0799
235.1275	14.6012	together	f169.png	1780	0.2361	1	2.0051	2	238.9543	notbuy	notbuy	244.9545	245.6320
249.7286	11.9458	alone	f128.jpg	501	0.2507	1	3.1777	2	254.6765	notbuy	buy	259.6767	260.3439
261.6745	12.8596	together	n15.png	199	0.2627	1	1.9707	2	266.4363	notbuy	buy	269.4365	271.4666
274.5341	11.5600	together	m49.jpg	1790	0.2755	4	2.0105	1	278.3192	buy	notbuy	282.3194	283.0245
286.0941	11.2584	together	m59.png	1600	0.2871	2	2.9751	2	290.8353	notbuy	notbuy	294.8354	295.2974
297.3525	12.9296	together	f37.png	490	0.2984	3	3.7034	2	302.8015	notbuy	notbuy	308.8017	309.1463
310.2822	9.7178	together	m98.jpg	790	0.3113	1	1.9623	2	313.9815	notbuy	notbuy	317.9817	318.6062
