onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0346	11.6989	alone	n93.png	179	0.0010	3	1.9990	1	4.1187	buy	notbuy	10.1189	10.5977
11.7335	11.1874	together	f138.jpg	421	0.0127	2	1.5997	2	15.3984	notbuy	buy	21.3985	21.8167
22.9209	8.7922	alone	f107.jpg	124	0.0239	2	2.3739	2	27.3144	notbuy	buy	30.3146	30.6817
31.7130	9.9052	together	f52.jpg	250	0.0327	2	1.5197	2	35.2443	notbuy	buy	40.2444	40.5855
41.6182	11.4288	alone	a2.png	80	0.0426	4	2.5466	1	46.1591	buy	buy	51.1593	51.9764
53.0471	11.1852	alone	f165.jpg	990	0.0540	3	1.6530	2	56.6737	notbuy	buy	62.6739	63.1673
64.2322	10.6955	together	f92.jpeg	1399	0.0652	3	2.1442	2	68.3623	notbuy	buy	73.3625	73.8371
74.9277	10.5803	together	f156.jpg	3280	0.0759	3	3.1579	2	80.0617	notbuy	notbuy	84.0619	84.4631
85.5080	12.9713	together	f146.jpg	1700	0.0865	3	3.5355	2	91.0113	notbuy	buy	97.0114	97.4371
98.4794	10.4536	together	f45.jpg	5900	0.0995	2	1.9385	2	102.3578	notbuy	notbuy	107.3580	107.8059
108.9330	11.2635	alone	m100.jpg	790	0.1099	2	1.8259	2	112.6922	notbuy	notbuy	118.6924	119.1278
120.1965	11.5306	alone	a87.png	750	0.1212	3	2.1192	1	124.2217	buy	buy	130.2219	130.6477
131.7271	10.7014	together	p18.png	340	0.1327	3	1.7667	2	135.4094	notbuy	buy	140.4096	141.3296
142.4285	8.7933	together	m54.jpg	1980	0.1434	4	1.3674	1	146.7233	buy	buy	149.7235	150.1635
151.2217	9.2089	together	f149.jpg	770	0.1522	2	1.7802	2	154.9085	notbuy	notbuy	158.9087	159.3515
160.4307	10.7325	alone	m34.png	189	0.1614	4	3.3774	1	165.6694	buy	notbuy	169.6695	170.0955
171.1631	11.6527	together	p33.jpg	800	0.1722	3	2.2732	2	175.3230	notbuy	buy	181.3232	181.7442
182.8158	13.4824	together	a40.png	850	0.1838	3	5.2528	2	189.9403	notbuy	buy	193.9405	195.2432
196.2982	10.9729	alone	n80.png	299	0.1973	2	3.6703	2	201.7990	notbuy	notbuy	205.7992	206.2270
207.2711	12.1188	alone	m96.jpg	790	0.2083	3	1.7803	2	211.8777	notbuy	notbuy	217.8779	218.3199
219.3899	9.0279	together	m39.jpg	740	0.2204	3	1.7144	2	222.9387	notbuy	buy	226.9389	227.3478
228.4178	8.6186	alone	f54.png	2640	0.2294	3	1.8564	2	232.0800	notbuy	notbuy	235.0801	235.9437
237.0364	10.5887	alone	n16.png	159	0.2380	2	4.1570	2	242.9835	notbuy	notbuy	245.9837	246.5327
247.6251	14.3117	alone	a77.png	7000	0.2486	2	5.0036	2	254.4179	notbuy	buy	260.4181	260.8294
261.9368	12.3436	alone	m65.png	800	0.2629	2	2.9739	2	266.6808	notbuy	notbuy	272.6810	273.1695
274.2804	11.4084	together	n50.png	1680	0.2753	3	2.1143	2	279.1833	notbuy	buy	284.1835	284.5904
285.6888	11.1573	alone	m16.png	99	0.2867	2	3.8027	2	291.2337	notbuy	buy	295.2339	295.7691
296.8461	11.9155	alone	m84.jpg	390	0.2978	2	2.4468	2	302.0456	notbuy	buy	307.0457	307.7001
308.7616	21.2384	alone	n73.png	999	0.3098	4	4.1378	2	314.6199	notbuy	buy	319.6201	320.6822
