onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0489	8.8919	together	m10.jpg	290	0.0020	3	1.4370	1	4.5682	buy	buy	7.5683	7.8815
9.9408	11.9606	together	n61.jpg	325	0.0109	1	1.4329	2	14.4307	notbuy	notbuy	20.4309	20.8616
21.9014	11.0802	together	f88.jpg	385	0.0229	3	1.4769	1	25.4132	buy	buy	31.4134	31.9316
32.9816	11.0850	alone	f187.jpg	290	0.0340	2	1.4540	2	37.4510	notbuy	buy	42.4512	42.9775
44.0666	9.9163	together	f56.png	1050	0.0451	1	1.4651	2	47.5427	notbuy	notbuy	51.5428	51.9424
53.9829	11.0905	together	f78.jpg	237	0.0550	3	1.2580	2	57.2451	notbuy	notbuy	63.2453	64.0193
65.0734	8.2066	together	n82.png	3799	0.0661	1	1.8481	2	68.8936	notbuy	notbuy	71.8937	72.2433
73.2801	9.8551	alone	a18.png	4100	0.0743	2	1.3933	2	76.6217	notbuy	notbuy	80.6219	81.0873
83.1351	8.9476	together	m70.jpg	490	0.0841	3	1.5081	1	87.6249	buy	buy	90.6251	91.0422
92.0827	9.2676	together	m11.jpg	290	0.0931	3	1.8851	1	95.9073	buy	buy	99.9074	100.3021
101.3503	9.8158	together	a49.png	320	0.1024	3	1.4444	1	104.7253	buy	buy	109.7255	110.1301
111.1661	10.6029	alone	f186.jpg	290	0.1122	2	1.0252	2	114.1058	notbuy	notbuy	119.1060	119.7300
121.7690	9.8267	together	f168.png	2180	0.1228	1	1.2528	2	124.9559	notbuy	notbuy	129.9561	130.5580
131.5957	9.4217	together	m42.jpg	420	0.1326	1	1.6936	2	135.2063	notbuy	notbuy	139.2064	139.9739
141.0174	9.8123	alone	f157.jpg	5888	0.1420	1	1.4700	2	144.3719	notbuy	notbuy	147.3721	147.7758
150.8297	8.9954	together	a61.png	470	0.1518	3	1.6228	1	154.3580	buy	buy	158.3582	158.7968
159.8251	13.5612	together	a53.png	395	0.1608	2	2.1408	1	165.8874	buy	buy	171.8875	172.3006
173.3863	8.4240	together	f199.jpg	390	0.1744	4	2.0504	1	177.3214	buy	buy	180.3215	180.7527
181.8104	10.0729	together	f38.png	367	0.1828	4	1.7358	1	185.4196	buy	buy	190.4197	190.8437
191.8833	9.3216	together	n58.png	241	0.1929	4	2.0189	1	195.7561	buy	buy	198.7563	199.1496
201.2049	10.4278	together	a20.png	3400	0.2022	2	4.2332	2	207.2861	notbuy	notbuy	210.2863	210.6023
211.6327	10.7160	alone	f49.jpg	180	0.2126	3	1.4326	1	215.8936	buy	notbuy	220.8937	221.3043
222.3487	10.9701	together	f170.jpg	842	0.2233	3	2.3763	1	226.5548	buy	buy	231.5550	232.2623
233.3189	10.7244	together	a40.png	850	0.2343	2	1.5533	2	237.6878	notbuy	notbuy	242.6880	243.0112
244.0432	13.4064	alone	n76.png	108	0.2450	4	2.8820	1	248.7211	buy	buy	254.7213	255.1252
257.4497	9.5316	together	m107.jpg	790	0.2584	4	1.3144	1	260.5536	buy	buy	265.5537	265.9200
266.9812	9.3318	together	f40.png	590	0.2680	4	1.1230	1	270.9031	buy	notbuy	274.9032	275.2729
276.3130	7.5886	together	a75.png	8000	0.2773	1	1.4513	2	279.5363	notbuy	notbuy	282.5365	282.8649
283.9017	10.4206	alone	f6.png	280	0.2849	3	1.1949	1	288.8756	buy	buy	292.8758	293.2200
294.3223	9.7818	together	n46.png	267	0.2953	4	1.6403	1	297.7172	buy	notbuy	300.7174	301.0398
304.1041	15.8959	together	n74.jpg	550	0.3051	2	1.5441	2	307.3983	notbuy	notbuy	310.3985	310.7297
