onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0689	13.1364	alone	m100.jpg	790	0.0021	2	2.5121	2	5.6358	notbuy	notbuy	11.6360	13.1448
14.2053	12.1557	alone	m83.jpg	390	0.0152	3	1.6032	1	18.8440	buy	buy	24.8442	25.3057
26.3609	8.6369	together	n95.png	749	0.0274	3	0.9134	1	29.3147	buy	notbuy	32.3149	32.7187
34.9978	10.9566	alone	n17.png	159	0.0360	3	2.3790	1	39.3730	buy	notbuy	44.3732	44.9197
45.9544	11.6006	alone	m61.png	1300	0.0470	1	1.6820	2	49.6210	notbuy	notbuy	54.6212	55.5166
57.5550	13.1631	together	a69.png	650	0.0586	1	2.5586	2	62.1116	notbuy	notbuy	68.1119	68.3865
70.7181	9.5504	together	f33.png	99	0.0717	3	1.2377	1	73.9444	buy	buy	78.9446	79.2414
80.2685	9.5927	alone	a3.png	85	0.0813	4	1.0583	1	83.2678	buy	buy	87.2680	87.7294
89.8612	11.4878	together	m16.png	99	0.0909	4	1.0569	1	93.8937	buy	buy	99.8939	100.3164
101.3490	11.0928	together	a77.png	7000	0.1023	1	1.7303	2	106.0430	notbuy	notbuy	111.0432	111.4062
112.4418	11.9537	together	n60.jpg	19900	0.1134	1	1.5374	2	116.9427	notbuy	buy	122.9428	123.3551
124.3956	11.9794	together	f169.png	1780	0.1254	1	1.3934	2	128.7221	notbuy	notbuy	134.7223	135.3420
136.3749	10.8508	alone	f128.jpg	501	0.1374	1	2.5484	2	140.8187	notbuy	buy	145.8189	146.1750
147.2257	9.4732	together	n15.png	199	0.1482	3	3.1782	1	152.2879	buy	buy	155.2880	155.6509
156.6989	10.5800	together	m49.jpg	1790	0.1577	1	1.6637	2	160.2563	notbuy	notbuy	164.2565	165.2228
167.2789	10.8864	together	m59.png	1600	0.1683	2	2.5123	2	171.6725	notbuy	notbuy	175.6727	176.0628
178.1653	14.1708	together	f37.png	490	0.1792	3	1.7592	1	182.8037	buy	buy	188.8038	189.1466
192.3361	9.8585	together	m98.jpg	790	0.1933	1	2.4693	2	196.6699	notbuy	notbuy	200.6700	201.1606
202.1946	9.6864	alone	f36.png	390	0.2032	4	1.3812	1	206.4171	buy	notbuy	210.4173	210.8377
211.8811	12.9727	alone	n96.png	999	0.2129	2	2.7629	2	216.4623	notbuy	buy	222.4625	223.8144
224.8537	10.1935	together	f74.jpg	590	0.2259	3	1.7679	1	228.4549	buy	notbuy	232.4551	232.9825
235.0472	7.6806	together	f203.jpg	290	0.2360	3	1.3560	1	238.2198	buy	buy	241.2199	241.6794
242.7278	9.7510	alone	f146.jpg	1700	0.2437	2	1.3837	2	247.9267	notbuy	notbuy	250.9269	251.4532
252.4789	12.2089	together	a68.png	640	0.2535	2	2.9815	2	257.2539	notbuy	buy	263.2541	263.6492
264.6878	11.4468	alone	a80.png	3880	0.2657	4	2.1597	1	268.6151	buy	notbuy	274.6153	275.1041
276.1346	9.9580	alone	f148.jpg	770	0.2771	3	1.5451	2	279.4246	notbuy	notbuy	284.4248	285.0570
286.0926	10.0211	together	f141.jpg	468	0.2871	2	1.7421	2	289.6015	notbuy	buy	293.6016	294.0660
296.1137	11.7009	together	f66.png	250	0.2971	2	2.5651	2	301.4516	notbuy	notbuy	306.4518	306.7799
307.8146	12.1854	together	f91.jpg	259	0.3088	3	1.5338	1	313.1013	buy	notbuy	318.1015	318.5198
