onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0160	13.4137	together	n37.png	1690	0.0010	2	1.5680	2	5.6882	notbuy	notbuy	11.6883	12.4034
13.4297	10.5566	together	a84.png	1500	0.0144	3	2.1684	1	17.6264	buy	buy	22.6266	22.9505
23.9862	12.2033	alone	f79.jpg	237	0.0250	3	2.6290	1	28.6349	buy	notbuy	34.6351	35.1494
36.1896	11.3123	alone	m87.jpg	390	0.0372	3	2.8852	1	41.0838	buy	notbuy	46.0840	46.4654
47.5018	8.7680	together	f191.jpg	590	0.0485	2	2.2445	2	51.7456	notbuy	notbuy	54.7458	55.2223
56.2699	12.4062	together	f134.jpg	306	0.0573	3	1.9903	1	60.2607	buy	buy	66.2609	66.6283
68.6760	9.8752	alone	f39.png	29	0.0697	3	3.4947	1	74.1403	buy	buy	77.1405	77.5022
78.5512	12.5336	alone	m33.png	299	0.0796	4	1.9876	1	84.5137	buy	buy	89.5139	90.0422
91.0848	8.7297	alone	m54.jpg	1980	0.0921	4	1.3461	1	94.3737	buy	notbuy	98.3739	98.7820
99.8145	8.8016	alone	m28.png	2180	0.1008	3	2.4458	1	104.1845	buy	notbuy	107.1847	107.5699
108.6161	11.6370	alone	f185.jpg	290	0.1096	3	2.1056	1	113.6542	buy	buy	117.6544	117.9648
120.2531	12.1869	alone	m27.png	2270	0.1213	3	1.8823	1	125.0579	buy	notbuy	130.0580	131.3918
132.4400	12.3731	together	m96.jpg	790	0.1334	3	2.0394	2	136.3893	notbuy	notbuy	142.3895	142.7707
144.8131	11.5234	together	a4.png	100	0.1458	3	2.1678	1	149.9082	buy	notbuy	152.9084	153.2727
156.3365	11.4055	alone	a19.png	3550	0.1573	3	1.8633	1	160.0650	buy	notbuy	165.0652	165.6856
167.7420	12.0856	alone	m104.jpg	590	0.1687	3	1.7677	1	172.3855	buy	notbuy	177.3857	177.7665
179.8275	12.3337	alone	m47.jpg	1790	0.1808	4	2.6738	1	184.3542	buy	notbuy	189.3543	189.8335
192.1612	8.8715	together	n41.png	399	0.1932	3	1.5222	1	195.5399	buy	buy	199.5401	199.9833
201.0327	13.2791	together	a9.png	6000	0.2020	2	2.5560	1	205.4209	buy	buy	211.4211	212.2573
214.3118	9.4981	alone	m90.jpg	130	0.2153	3	2.2913	1	218.4234	buy	buy	222.4236	222.7692
223.8099	10.5565	together	f22.png	2052	0.2248	3	1.3318	2	227.9872	notbuy	notbuy	232.9874	233.3352
234.3664	11.4268	alone	a12.png	5500	0.2354	1	1.8334	2	237.9999	notbuy	notbuy	244.0001	244.4871
245.7933	10.6479	together	f58.png	310	0.2468	3	2.4578	1	251.0709	buy	buy	255.0710	255.3941
256.4411	9.9805	alone	f137.jpg	421	0.2574	3	2.7734	1	260.9817	buy	buy	264.9818	265.3450
266.4216	12.9265	together	f113.jpg	247	0.2674	1	3.8174	1	272.0162	buy	notbuy	277.0163	278.0418
279.3481	9.0602	alone	a21.png	3180	0.2803	1	1.4553	2	283.5699	notbuy	notbuy	286.5701	287.3728
288.4083	9.7144	alone	m24.jpg	599	0.2894	3	2.5724	1	293.7254	buy	notbuy	296.7255	297.0827
298.1227	8.9925	alone	n80.png	299	0.2991	3	1.7751	1	302.6485	buy	buy	305.6487	306.0606
307.1152	12.8848	alone	n40.png	219	0.3081	3	1.9621	1	312.8192	buy	buy	318.8194	319.5197
