onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.3240	9.8904	alone	m90.jpg	130	0.0023	1	1.0923	2	4.4593	notbuy	notbuy	8.4595	9.1503
11.2144	10.7592	together	f22.png	2052	0.0122	1	1.7432	2	15.0148	notbuy	notbuy	20.0150	20.9134
21.9737	12.8859	alone	a12.png	5500	0.0230	2	2.9270	2	26.9177	notbuy	notbuy	32.9178	33.7522
34.8595	9.8653	together	f58.png	310	0.0359	1	1.5239	2	38.3967	notbuy	notbuy	42.3968	43.6771
44.7248	12.3143	alone	f137.jpg	421	0.0457	2	3.4317	2	50.1455	notbuy	notbuy	54.1456	54.8960
57.0392	11.1006	together	f113.jpg	247	0.0580	2	2.5290	2	61.5626	notbuy	notbuy	66.5628	67.0200
68.1397	8.8012	alone	a21.png	3180	0.0691	1	1.2521	2	71.3614	notbuy	notbuy	74.3616	75.8829
76.9409	10.2916	alone	m24.jpg	599	0.0779	1	2.4859	2	81.3779	notbuy	notbuy	84.3780	85.1139
87.2326	9.5828	alone	n80.png	299	0.0882	3	2.9552	2	92.1255	notbuy	notbuy	95.1257	95.7367
96.8154	12.5940	alone	n40.png	219	0.0978	2	1.8648	1	101.6251	buy	notbuy	107.6253	108.2795
109.4093	13.8988	alone	m100.jpg	790	0.1104	1	3.1134	2	115.4446	notbuy	notbuy	121.4448	122.1944
123.3081	13.0195	alone	m83.jpg	390	0.1243	1	1.0593	2	127.2869	notbuy	notbuy	133.2871	134.2074
136.3276	10.0994	together	n95.png	749	0.1373	1	2.1453	2	140.3923	notbuy	notbuy	143.3925	145.3083
146.4270	11.9217	alone	n17.png	159	0.1474	3	2.4824	1	151.7961	buy	notbuy	156.7963	157.2651
158.3487	10.5989	alone	m61.png	1300	0.1593	1	2.0633	2	162.2935	notbuy	notbuy	167.2936	167.8520
168.9475	11.6406	together	a69.png	650	0.1699	1	1.2329	2	173.0741	notbuy	notbuy	179.0742	179.4579
180.5881	10.8080	together	f33.png	99	0.1816	1	1.3326	2	184.8058	notbuy	notbuy	189.8060	190.3128
191.3961	10.1399	alone	a3.png	85	0.1924	4	2.1004	1	195.3340	buy	buy	199.3342	200.3857
201.5360	11.6353	together	m16.png	99	0.2025	2	2.2925	1	205.6727	buy	buy	211.6728	212.0665
213.1713	10.9874	together	a77.png	7000	0.2142	1	1.4832	2	217.5049	notbuy	notbuy	222.5050	223.0576
224.1586	11.6670	together	n60.jpg	19900	0.2252	3	2.3242	2	228.3050	notbuy	notbuy	234.3052	234.7624
235.8257	10.5880	together	f169.png	1780	0.2368	1	1.2348	2	238.8879	notbuy	notbuy	244.8881	245.2994
246.4137	10.9952	alone	f128.jpg	501	0.2474	1	2.2664	2	250.4650	notbuy	notbuy	255.4651	256.3143
257.4089	11.3948	together	n15.png	199	0.2584	1	1.9024	2	264.1535	notbuy	notbuy	267.1537	267.6851
268.8036	9.9310	together	m49.jpg	1790	0.2698	1	2.4638	2	273.0531	notbuy	notbuy	277.0533	277.6631
278.7347	9.0779	together	m59.png	1600	0.2797	1	1.6437	2	282.1527	notbuy	notbuy	286.1529	286.7559
287.8126	13.1910	together	f37.png	490	0.2888	1	1.8008	2	291.3856	notbuy	notbuy	297.3857	298.8699
301.0036	18.9964	together	m98.jpg	790	0.3020	1	1.1600	2	305.9351	notbuy	notbuy	309.9353	310.4838
