onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0891	13.7789	together	n86.png	99	0.0021	2	2.9051	2	6.0872	notbuy	notbuy	10.0874	11.2039
14.8680	16.7261	alone	f188.jpg	590	0.0159	1	1.9339	2	21.8652	notbuy	buy	27.8654	28.4372
31.5941	15.4691	together	n30.png	799	0.0326	1	3.4946	2	37.1109	notbuy	buy	43.1110	43.9659
47.0632	19.5774	together	f162.jpg	5480	0.0481	1	1.7971	2	53.8939	notbuy	na	59.8941	60.4758
66.6406	13.5031	alone	f29.png	499	0.0676	3	1.7666	1	73.4244	buy	buy	77.4246	78.0378
80.1436	15.1039	alone	m50.jpg	980	0.0811	3	3.3611	1	87.4805	buy	buy	91.4806	92.1158
95.2476	11.7673	together	f86.jpg	200	0.0962	1	1.7892	2	100.0076	notbuy	notbuy	104.0078	104.8367
107.0149	18.9131	alone	n5.png	1500	0.1080	3	3.3810	2	112.3305	notbuy	na	118.3307	118.7826
125.9280	19.7455	alone	m9.jpg	290	0.1269	3	2.0949	1	131.9551	buy	na	137.9553	138.4718
145.6736	14.1297	alone	m88.jpg	390	0.1467	2	2.5247	2	152.1113	notbuy	buy	157.1115	157.6806
159.8033	13.2640	together	f100.jpeg	1710	0.1608	3	2.8058	2	164.5046	notbuy	buy	169.5048	169.9214
173.0673	16.5731	together	n20.png	383	0.1741	1	3.8971	2	180.8705	notbuy	notbuy	186.8707	187.5034
189.6405	18.6900	together	a65.png	570	0.1906	1	3.1296	2	194.6404	notbuy	na	200.6406	201.1373
208.3305	20.4054	alone	m37.jpg	1380	0.2093	1	1.8933	2	216.1017	notbuy	na	222.1019	222.5602
228.7359	12.7996	together	n42.png	399	0.2297	3	2.0237	1	235.6384	buy	buy	238.6385	239.4223
241.5355	11.8761	together	f20.png	460	0.2425	1	2.2425	2	247.6203	notbuy	notbuy	251.6204	252.2491
253.4116	13.6083	together	n91.png	329	0.2544	3	3.0064	1	259.2344	buy	buy	265.2346	265.9781
267.0199	13.4460	together	a15.png	4500	0.2680	1	1.9030	2	271.7177	notbuy	notbuy	276.7178	277.3000
280.4659	10.6882	together	m105.jpg	990	0.2815	1	1.3225	2	285.5684	notbuy	notbuy	288.5686	289.0460
291.1541	11.9015	alone	f57.png	270	0.2922	3	2.2572	2	295.1486	notbuy	notbuy	299.1487	302.0180
303.0555	16.9445	alone	f48.jpg	180	0.3041	1	2.5991	2	308.3927	notbuy	na	314.3929	314.7800
