onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0216	16.3307	together	m86.jpg	390	0.0010	1	0.6740	2	4.8039	notbuy	na	10.8041	11.1782
16.3523	10.5619	together	f126.jpg	1122	0.0174	3	1.7664	2	22.1790	notbuy	buy	25.1791	25.8112
26.9142	12.4476	together	a35.png	1200	0.0279	1	2.9459	2	32.8975	notbuy	notbuy	37.8976	38.2399
39.3618	9.3359	alone	f151.jpg	2385	0.0404	1	0.7814	2	42.1488	notbuy	notbuy	47.1490	47.6247
48.6977	9.3037	together	m68.jpg	290	0.0497	2	0.9567	2	52.6799	notbuy	notbuy	56.6801	56.9476
58.0014	13.7932	together	a26.png	2650	0.0590	3	1.1920	1	63.2120	buy	buy	69.2121	69.6855
71.7947	11.4756	together	f174.jpg	1350	0.0728	3	1.0848	1	74.8622	buy	buy	80.8624	81.1603
83.2703	8.7651	together	f175.jpg	757	0.0843	2	1.3173	2	86.5614	notbuy	notbuy	89.5615	89.9582
92.0354	11.2845	together	a46.png	235	0.0930	1	0.8680	2	95.8776	notbuy	notbuy	100.8778	101.1991
103.3199	11.4351	together	m44.png	660	0.1043	4	1.9303	2	107.1926	notbuy	buy	112.1927	112.7150
114.7550	11.5451	together	f47.jpg	250	0.1158	2	1.1328	1	119.8563	buy	notbuy	124.8564	125.1976
126.3001	8.6254	together	f180.jpg	578	0.1273	2	1.1823	1	130.4093	buy	notbuy	133.4095	133.8384
134.9255	11.8669	together	f34.png	199	0.1359	1	1.3789	2	139.2421	notbuy	buy	144.2422	144.6324
146.7924	9.1956	alone	f116.jpg	869	0.1478	2	1.5418	2	151.2385	notbuy	notbuy	154.2387	154.9211
155.9881	8.1915	together	f145.jpg	4080	0.1570	4	1.2860	1	159.1746	buy	buy	162.1747	163.1210
164.1796	11.5986	together	n47.png	420	0.1652	1	1.0072	2	168.0901	notbuy	buy	173.0902	173.6618
175.7782	7.3218	alone	n64.jpg	400	0.1768	1	0.8678	2	178.5029	notbuy	notbuy	181.5031	182.0506
183.0999	19.8381	alone	n79.jpg	1980	0.1841	1	0.9251	2	190.9387	notbuy	notbuy	196.9389	197.8005
202.9380	10.3976	alone	a57.png	440	0.2039	3	1.8769	2	206.6476	notbuy	notbuy	210.6478	211.2632
213.3357	9.1747	together	m46.png	1980	0.2143	1	0.8833	2	217.0716	notbuy	buy	220.0718	220.4421
222.5103	9.3852	alone	f122.jpg	1122	0.2235	2	1.1775	2	225.5083	notbuy	buy	230.5085	230.8552
231.8956	14.2992	alone	m67.png	45	0.2329	1	2.2809	2	238.0197	notbuy	notbuy	244.0199	245.0897
246.1948	13.2815	together	m89.jpg	390	0.2472	1	1.0012	2	251.0363	notbuy	notbuy	257.0365	257.3367
259.4763	13.4841	together	m6.png	45000	0.2605	3	5.9925	2	267.2684	notbuy	notbuy	271.2686	271.8203
272.9604	10.4467	together	m7.png	150	0.2740	1	1.1140	2	277.8851	notbuy	buy	280.8853	281.2462
283.4070	14.9746	alone	f200.jpg	590	0.2844	1	1.4624	2	286.6126	notbuy	na	290.6128	291.2060
298.3816	21.6184	together	a29.png	2335	0.2994	2	2.0624	2	310.3169	notbuy	notbuy	315.3171	315.6067
