onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.3052	14.5669	together	a58.png	450	0.0023	1	1.6443	2	5.0383	notbuy	na	9.0385	9.6639
15.8721	8.3064	together	f152.png	2880	0.0169	1	0.7909	2	19.7141	notbuy	notbuy	22.7142	23.1271
24.1785	9.3760	together	a28.png	2350	0.0252	4	1.0092	1	27.2139	buy	notbuy	31.2141	31.5007
33.5545	12.3415	together	a88.png	650	0.0346	1	1.7546	2	40.3801	notbuy	notbuy	43.3803	43.7855
45.8960	14.0666	together	f76.jpg	890	0.0469	3	1.1599	1	52.1127	buy	buy	58.1129	58.9084
59.9626	17.6626	together	m74.jpg	590	0.0610	1	1.2400	2	71.3119	notbuy	notbuy	76.3120	76.5770
77.6252	12.1691	alone	a22.png	3000	0.0786	2	1.5506	2	81.1216	notbuy	notbuy	84.1217	84.6499
89.7943	12.0180	together	n70.png	1100	0.0908	2	1.3868	2	95.1606	notbuy	notbuy	100.1608	100.7467
101.8123	10.1455	alone	f176.jpg	672	0.1028	1	1.3388	2	105.0656	notbuy	notbuy	110.0658	110.8257
111.9577	11.8821	alone	f198.jpg	590	0.1130	1	0.8240	2	116.7361	notbuy	notbuy	120.7363	122.7323
123.8398	12.4027	alone	m31.png	1799	0.1248	1	1.3538	1	128.1235	buy	buy	134.1237	135.1442
136.2426	9.9742	alone	f103.jpeg	399	0.1372	1	1.6912	2	139.8412	notbuy	notbuy	143.8414	144.1570
146.2167	14.4133	together	m41.jpg	830	0.1472	1	1.0362	2	152.1911	notbuy	notbuy	158.1913	158.4938
160.6300	9.3145	alone	n63.jpg	586	0.1616	1	0.8666	2	163.3648	notbuy	notbuy	168.3650	168.8467
169.9445	12.1143	together	n13.png	100	0.1709	1	1.6949	2	175.5565	notbuy	notbuy	180.5567	180.9746
182.0588	9.9423	together	n33.png	599	0.1831	1	1.6901	2	185.6229	notbuy	notbuy	189.6231	189.9234
192.0011	14.3028	together	n21.png	382	0.1930	2	2.9920	2	199.9030	notbuy	notbuy	204.9032	205.1801
206.3039	14.4806	together	f189.jpg	590	0.2073	1	0.9833	2	212.1879	notbuy	notbuy	215.1881	215.6099
220.7845	14.4028	together	m35.png	499	0.2218	1	1.0398	2	226.7041	notbuy	notbuy	229.7043	230.0460
235.1873	14.6474	alone	f67.png	799	0.2362	3	2.1942	1	239.1790	buy	na	242.1792	242.7266
249.8347	16.7154	alone	f52.jpg	250	0.2508	3	1.4078	1	261.1439	buy	notbuy	264.1440	264.4544
266.5501	10.4147	together	m43.jpg	2500	0.2676	1	1.1186	2	272.4852	notbuy	notbuy	275.4854	275.8442
276.9647	11.6071	alone	f172.jpg	425	0.2780	4	1.3290	1	280.0505	buy	notbuy	286.0506	286.4389
288.5718	10.7323	together	f97.jpeg	1215	0.2896	3	1.4226	1	291.7499	buy	notbuy	296.7500	297.1747
299.3041	20.6959	together	a52.png	390	0.3003	1	1.1143	2	303.1634	notbuy	notbuy	308.1636	308.5986
