onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.1248	11.0713	together	f71.jpg	39	0.0021	2	1.3181	2	5.5539	notbuy	notbuy	10.5541	11.0788
12.1961	11.5578	together	f165.jpg	990	0.0132	1	0.8792	2	16.1316	notbuy	notbuy	22.1318	22.6298
23.7539	9.4012	alone	f164.jpg	1090	0.0248	1	1.6388	2	27.4011	notbuy	buy	31.4012	32.0717
33.1551	13.0992	alone	m58.png	2250	0.0342	2	1.6332	2	37.8032	notbuy	notbuy	43.8034	44.1366
46.2543	18.4853	together	m77.jpg	590	0.0473	1	0.7553	2	51.0434	notbuy	na	57.0435	57.5233
64.7396	10.6353	together	f101.jpeg	350	0.0657	4	1.1417	1	68.8621	buy	notbuy	72.8623	74.3251
75.3748	16.5702	together	f7.png	500	0.0764	2	2.7064	2	87.1448	notbuy	notbuy	90.1450	90.8228
91.9450	15.7122	together	f136.jpg	425	0.0929	4	1.0419	1	95.9585	buy	notbuy	101.9586	102.4876
107.6572	15.5688	alone	a76.png	7120	0.1087	4	0.9877	1	110.5796	buy	na	115.5798	116.0305
123.2260	12.1941	together	n16.png	159	0.1242	3	1.6382	1	126.7925	buy	notbuy	130.7927	131.2823
135.4201	12.3765	alone	n78.png	680	0.1364	3	0.8414	1	139.1734	buy	notbuy	145.1736	145.6820
147.7966	10.3308	together	f127.jpg	501	0.1488	4	0.8658	1	150.5551	buy	notbuy	155.5552	156.0150
158.1274	8.1103	together	f158.jpg	4999	0.1591	3	0.7311	1	160.7577	buy	notbuy	163.7578	164.1518
166.2377	12.5724	together	m15.png	11199	0.1672	4	1.2822	1	169.4027	buy	buy	175.4028	175.6975
178.8101	9.9396	together	m23.png	896	0.1798	1	1.1528	2	183.8732	notbuy	notbuy	186.8733	187.6983
188.7497	15.4109	alone	f72.jpg	39	0.1897	1	2.0207	2	195.6614	notbuy	buy	200.6616	201.0551
204.1606	17.7930	together	f80.jpg	590	0.2052	3	1.5012	1	208.5219	buy	notbuy	214.5221	214.8349
221.9536	9.1256	together	a1.png	30	0.2230	1	1.2490	2	225.0355	notbuy	notbuy	229.0356	229.9609
231.0792	10.5803	together	f120.jpg	833	0.2321	4	1.8431	2	234.7373	notbuy	notbuy	239.7375	240.5525
241.6595	18.2944	alone	a32.png	1540	0.2427	1	0.9297	2	247.4206	notbuy	na	253.4208	253.7793
259.9539	16.2204	together	a89.png	299	0.2610	3	1.8910	1	269.7188	buy	buy	274.7190	275.1031
276.1743	12.4848	together	a11.png	5600	0.2772	4	1.1932	1	281.1652	buy	buy	286.1654	286.5468
288.6591	31.3409	together	f201.jpg	590	0.2897	1	1.1987	2	300.7486	notbuy	na	305.7487	306.1135
