onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0846	11.7766	together	f169.png	1780	0.0021	1	1.8471	2	5.0063	notbuy	notbuy	11.0064	11.7886
12.8611	11.7431	alone	f128.jpg	501	0.0139	1	2.0759	2	16.9589	notbuy	notbuy	21.9591	22.4807
24.6042	13.6020	together	n15.png	199	0.0256	4	2.0886	1	32.7643	buy	notbuy	35.7645	36.1087
38.2062	8.7637	together	m49.jpg	1790	0.0392	1	1.3142	2	41.5275	notbuy	notbuy	45.5277	45.9024
46.9699	10.3802	together	m59.png	1600	0.0480	2	2.9170	2	51.8968	notbuy	notbuy	55.8970	56.2725
57.3501	13.5399	together	f37.png	490	0.0584	1	0.9384	2	62.3117	notbuy	notbuy	68.3118	68.7461
70.8899	10.9927	together	m98.jpg	790	0.0719	1	2.1849	2	76.0752	notbuy	notbuy	80.0754	80.7921
81.8827	10.1102	alone	f36.png	390	0.0829	4	1.5719	1	86.4260	buy	buy	90.4261	90.9390
91.9929	12.7384	alone	n96.png	999	0.0930	1	2.3800	2	96.3001	notbuy	notbuy	102.3004	102.6629
104.7313	10.4305	together	f74.jpg	590	0.1057	1	1.7717	2	108.4408	notbuy	notbuy	112.4410	113.0500
115.1618	10.9644	together	f203.jpg	290	0.1162	1	1.9012	2	121.0090	notbuy	notbuy	124.0092	125.0329
126.1262	9.1394	alone	f146.jpg	1700	0.1271	1	1.8301	2	129.8552	notbuy	notbuy	132.8554	133.2275
135.2656	14.0747	together	a68.png	640	0.1363	3	3.7303	2	140.9062	notbuy	notbuy	146.9063	147.2755
149.3403	13.0011	alone	a80.png	3880	0.1503	2	2.5713	2	153.7857	notbuy	notbuy	159.7858	160.2383
162.3414	10.2851	alone	f148.jpg	770	0.1633	1	1.5113	2	165.7197	notbuy	notbuy	170.7199	171.5203
172.6265	9.7317	together	f141.jpg	468	0.1736	3	1.4036	2	176.9245	notbuy	notbuy	180.9247	181.3042
182.3582	12.8479	together	f66.png	250	0.1834	1	2.0894	2	188.3574	notbuy	notbuy	193.3576	194.1801
195.2061	11.0821	together	f91.jpg	259	0.1962	1	1.6942	2	198.7384	notbuy	notbuy	203.7386	204.1849
206.2883	7.9857	together	m10.jpg	290	0.2073	3	1.6093	1	209.7398	buy	buy	212.7400	213.2100
214.2739	13.5490	together	n61.jpg	325	0.2153	1	3.2053	2	219.3200	notbuy	notbuy	225.3201	225.7728
227.8229	12.3082	together	f88.jpg	385	0.2288	3	1.6848	2	232.3555	notbuy	buy	238.3557	239.0207
240.1311	10.8398	alone	f187.jpg	290	0.2411	1	2.4111	2	244.3276	notbuy	buy	249.3277	249.8815
250.9708	10.5926	together	f56.png	1050	0.2520	1	1.2860	2	256.0712	notbuy	notbuy	260.0713	260.4775
261.5635	13.8469	together	f78.jpg	237	0.2626	1	1.5206	2	266.9027	notbuy	notbuy	272.9029	273.3214
275.4103	8.8406	together	n82.png	3799	0.2764	1	1.5434	2	278.7368	notbuy	notbuy	281.7370	282.1853
284.2509	8.9146	alone	a18.png	4100	0.2853	4	1.6803	2	287.6802	notbuy	notbuy	291.6803	292.1261
293.1656	11.9726	together	m70.jpg	490	0.2942	3	2.7422	2	299.6991	notbuy	buy	302.6993	303.0531
305.1382	14.8618	together	m11.jpg	290	0.3061	4	1.5471	1	308.4342	buy	buy	312.4343	313.0250
