onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.1343	9.1206	alone	f185.jpg	290	0.0021	1	1.2821	2	4.4642	notbuy	notbuy	8.4644	9.1745
10.2549	9.6608	alone	m27.png	2270	0.0113	1	1.0883	2	13.3631	notbuy	notbuy	18.3633	18.8447
19.9158	12.5711	together	m96.jpg	790	0.0209	2	1.9599	2	23.9131	notbuy	buy	29.9133	30.3974
32.4869	7.7632	together	a4.png	100	0.0335	1	1.3055	2	35.8109	notbuy	notbuy	38.8110	39.1722
40.2501	13.0480	alone	a19.png	3550	0.0413	2	1.4613	2	45.7328	notbuy	buy	50.7330	51.1771
53.2982	10.3397	alone	m104.jpg	590	0.0543	2	1.4593	2	56.7453	notbuy	buy	61.7455	62.5499
63.6378	13.0697	alone	m47.jpg	1790	0.0646	1	2.5496	2	69.1786	notbuy	notbuy	74.1788	74.6147
76.7075	9.3021	together	n41.png	399	0.0777	3	1.8367	2	80.5272	notbuy	buy	84.5274	84.9495
86.0096	16.7795	together	a9.png	6000	0.0870	3	2.1870	2	93.2100	notbuy	notbuy	99.2102	99.6544
102.7891	10.9600	alone	m90.jpg	130	0.1038	1	1.2828	2	107.0246	notbuy	notbuy	111.0248	111.6431
113.7490	13.8511	together	f22.png	2052	0.1147	3	1.4157	2	121.1584	notbuy	buy	126.1586	126.5639
127.6001	25.6833	alone	a12.png	5500	0.1286	3	1.6636	2	140.2986	notbuy	na	146.2988	147.1116
153.2834	11.3543	together	f58.png	310	0.1543	3	2.8923	2	158.0707	notbuy	notbuy	162.0709	162.5204
164.6377	9.9514	alone	f137.jpg	421	0.1656	2	2.1646	2	168.6745	notbuy	notbuy	172.6747	173.4972
174.5891	10.2638	together	f113.jpg	247	0.1756	1	1.5286	1	177.9890	buy	notbuy	182.9891	183.7080
184.8529	11.0404	alone	a21.png	3180	0.1859	1	1.2949	2	188.0028	notbuy	notbuy	191.0029	191.7519
195.8933	7.7345	alone	m24.jpg	599	0.1969	1	1.2119	2	198.9377	notbuy	notbuy	201.9379	202.5457
203.6278	9.5424	alone	n80.png	299	0.2046	1	1.0896	2	208.5781	notbuy	notbuy	211.5783	212.1087
213.1701	16.9942	alone	n40.png	219	0.2142	2	1.5482	2	217.5477	notbuy	na	223.5479	225.0044
230.1644	14.9255	alone	m100.jpg	790	0.2312	1	1.3902	2	236.3938	notbuy	notbuy	242.3940	242.9471
245.0898	14.4829	alone	m83.jpg	390	0.2461	1	1.0731	2	247.9545	notbuy	na	253.9547	254.4120
259.5727	11.9968	together	n95.png	749	0.2606	1	1.4376	2	265.8482	notbuy	notbuy	268.8483	269.4557
271.5696	14.3370	alone	n17.png	159	0.2726	3	4.9446	1	278.2794	buy	buy	283.2796	284.8115
285.9066	14.6508	alone	m61.png	1300	0.2869	1	1.2169	2	291.8976	notbuy	buy	296.8978	297.4453
300.5574	19.4426	together	a69.png	650	0.3016	1	1.5856	2	306.9469	notbuy	na	312.9470	313.3447
