onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0687	10.4703	together	f145.jpg	4080	0.0021	1	2.5601	2	5.7056	notbuy	notbuy	8.7058	9.4643
11.5390	12.3928	together	n47.png	420	0.0125	1	1.2625	2	15.8628	notbuy	notbuy	20.8630	21.2442
23.9318	11.2326	alone	n64.jpg	400	0.0249	1	4.5589	2	30.4832	notbuy	notbuy	33.4833	34.0637
35.1644	12.7586	alone	n79.jpg	1980	0.0362	1	0.7962	2	38.9731	notbuy	notbuy	44.9733	46.8165
47.9230	13.5774	alone	a57.png	440	0.0489	1	5.7609	2	55.6791	notbuy	notbuy	59.6793	60.4466
61.5004	8.4288	together	m46.png	1980	0.0625	1	1.8685	2	65.3604	notbuy	notbuy	68.3606	68.8563
69.9291	10.5697	alone	f122.jpg	1122	0.0709	1	0.9659	2	72.8562	notbuy	notbuy	77.8563	78.4142
80.4988	14.7329	alone	m67.png	45	0.0815	2	4.2025	1	86.6607	buy	notbuy	92.6609	93.1039
95.2317	11.9648	together	m89.jpg	390	0.0962	2	1.8682	1	99.0596	buy	notbuy	105.0598	106.0577
107.1965	13.9448	together	m6.png	45000	0.1082	2	5.3442	1	114.4924	buy	notbuy	118.4926	119.0055
121.1413	7.8521	together	m7.png	150	0.1221	1	0.9551	2	124.0224	notbuy	notbuy	127.0225	127.9113
128.9935	10.0137	alone	f200.jpg	590	0.1300	3	1.3860	1	133.3048	buy	notbuy	137.3050	137.9555
139.0071	10.1453	together	a29.png	2335	0.1400	1	1.7420	2	142.6545	notbuy	notbuy	147.6547	148.1020
149.1524	11.9811	together	f71.jpg	39	0.1502	1	1.1642	1	153.2390	buy	notbuy	158.2391	160.0181
161.1335	12.7757	together	f165.jpg	990	0.1621	1	1.5691	2	165.6028	notbuy	notbuy	171.6030	172.7856
173.9091	11.1225	alone	f164.jpg	1090	0.1749	2	1.5459	1	177.3128	buy	notbuy	181.3130	183.9777
185.0316	15.7657	alone	m58.png	2250	0.1860	1	0.9380	2	187.8265	notbuy	na	193.8267	194.6194
200.7973	11.9525	together	m77.jpg	590	0.2018	2	2.5328	1	205.1881	buy	notbuy	211.1883	211.6321
212.7498	10.4237	together	f101.jpeg	350	0.2137	1	2.2767	2	216.8698	notbuy	notbuy	220.8700	222.0459
223.1735	9.9251	together	f7.png	500	0.2242	3	1.3752	2	227.3869	notbuy	buy	230.3871	232.0287
233.0986	11.7414	together	f136.jpg	425	0.2341	1	1.2771	2	236.1863	notbuy	notbuy	242.1864	242.7306
244.8400	9.7392	alone	a76.png	7120	0.2458	1	1.4308	2	248.0572	notbuy	notbuy	253.0574	253.4974
254.5792	12.6249	together	n16.png	159	0.2556	1	3.2496	2	259.6166	notbuy	buy	263.6167	264.0705
267.2040	15.5086	alone	n78.png	680	0.2682	2	3.2592	2	272.2362	notbuy	notbuy	278.2364	278.5590
282.7127	10.1242	together	f127.jpg	501	0.2837	1	1.7537	2	286.2310	notbuy	notbuy	291.2311	291.7148
292.8368	7.4672	together	f158.jpg	4999	0.2938	2	1.3268	2	295.9155	notbuy	notbuy	298.9157	299.2097
300.3040	19.6960	together	m15.png	11199	0.3013	1	1.6433	2	303.6998	notbuy	notbuy	309.7000	310.3465
