onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0921	12.4663	alone	a21.png	3180	0.0021	1	1.7811	2	6.9510	notbuy	notbuy	9.9512	11.4613
13.5584	9.8818	alone	m24.jpg	599	0.0146	1	2.8556	2	18.4262	notbuy	notbuy	21.4264	22.3701
23.4401	12.3762	alone	n80.png	299	0.0244	2	2.1054	2	30.5956	notbuy	notbuy	33.5958	34.6980
35.8164	16.3759	alone	n40.png	219	0.0368	4	2.0518	1	41.8891	buy	buy	47.8893	51.0599
52.1922	17.7160	alone	m100.jpg	790	0.0532	1	1.5622	2	61.8249	notbuy	notbuy	67.8251	68.7858
69.9082	16.0832	alone	m83.jpg	390	0.0709	1	3.9059	1	77.7999	buy	notbuy	83.8001	84.8868
85.9914	14.6340	together	n95.png	749	0.0870	2	4.9690	2	93.9642	notbuy	notbuy	96.9644	97.4774
100.6254	16.2533	alone	n17.png	159	0.1016	3	4.5936	1	107.1448	buy	notbuy	112.1450	113.7603
116.8787	15.1647	alone	m61.png	1300	0.1179	1	2.1369	2	123.9620	notbuy	notbuy	128.9622	129.9632
132.0433	18.4845	together	a69.png	650	0.1330	1	4.8660	2	139.8385	notbuy	notbuy	145.8387	146.3500
150.5278	14.5118	together	f33.png	99	0.1515	2	1.6065	2	157.0854	notbuy	notbuy	162.0855	162.9369
165.0397	14.0075	alone	a3.png	85	0.1660	3	1.8250	1	171.7737	buy	notbuy	175.7739	176.9080
179.0472	13.4862	together	m16.png	99	0.1800	3	1.6560	1	184.5955	buy	buy	190.5957	191.4587
192.5334	13.9426	together	a77.png	7000	0.1935	2	4.8785	2	199.2569	notbuy	buy	204.2571	205.4226
206.4760	16.7959	together	n60.jpg	19900	0.2075	3	5.9005	1	214.2247	buy	notbuy	220.2249	221.1513
223.2718	12.2268	together	f169.png	1780	0.2243	1	2.2123	2	227.3134	notbuy	notbuy	233.3135	234.4593
235.4986	13.2710	alone	f128.jpg	501	0.2365	3	1.6935	1	240.0083	buy	notbuy	245.0084	247.6871
248.7696	11.6693	together	n15.png	199	0.2498	4	2.5678	1	255.1568	buy	buy	258.1570	259.3409
260.4389	15.0620	together	m49.jpg	1790	0.2614	1	2.8034	2	268.0573	notbuy	notbuy	272.0575	273.4319
275.5009	12.4260	together	m59.png	1600	0.2765	2	4.9155	2	282.1972	notbuy	notbuy	286.1973	286.8558
287.9269	17.9486	together	f37.png	490	0.2889	2	2.0789	2	294.7957	notbuy	notbuy	300.7958	301.6895
305.8756	14.1244	together	m98.jpg	790	0.3069	2	4.1509	2	313.8021	notbuy	notbuy	317.8023	318.3205
