onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0175	9.2628	together	f154.jpg	3888	1.0180	3	1.7280	3	3.8525	buy	buy	7.8527	8.2271
9.2803	12.4521	alone	n65.png	4650	10.2800	2	13.1610	1	14.2030	notbuy	notbuy	20.2032	20.6700
21.7324	13.5043	alone	n13.png	100	22.7320	2	26.6720	2	27.7114	buy	notbuy	33.7116	34.1997
35.2367	14.6591	alone	f135.jpg	421	36.2370	2	40.3970	2	42.4375	notbuy	notbuy	48.4377	48.8565
49.8958	10.5928	together	n10.jpg	750	50.8960	3	54.0190	3	55.0762	buy	buy	59.0764	59.4404
60.4886	11.1640	alone	f139.jpg	421	61.4890	2	62.9540	2	66.0255	notbuy	notbuy	70.0257	70.6032
71.6526	10.5929	alone	m18.png	4880	72.6530	3	74.7360	1	76.7892	buy	notbuy	80.7893	81.2101
82.2455	12.4402	alone	f58.png	310	83.2460	1	86.1320	1	87.1623	notbuy	notbuy	93.1625	93.6487
94.6857	13.5241	alone	n30.png	799	95.6860	3	99.4940	3	100.5309	buy	buy	106.5311	107.1814
108.2098	11.6410	together	n69.jpg	590	109.2100	2	112.4280	2	113.4745	notbuy	notbuy	118.4746	118.8232
119.8508	10.6270	alone	f50.jpg	280	120.8510	2	123.0350	1	124.0717	notbuy	notbuy	129.0719	129.4460
130.4777	11.7870	together	a28.png	2350	131.4780	3	133.7910	3	134.8416	buy	buy	140.8418	141.2198
142.2648	14.9635	alone	m87.jpg	390	143.2650	2	148.7220	2	149.7486	notbuy	notbuy	155.7488	156.1896
157.2283	14.1369	alone	f55.png	2050	158.2280	1	161.8520	1	163.8987	notbuy	notbuy	169.8989	170.3345
171.3652	8.7601	alone	f81.jpg	490	172.3650	2	174.6090	1	175.6441	notbuy	notbuy	178.6442	179.0961
180.1253	10.9503	alone	a79.png	4500	181.1250	2	184.1750	2	185.2077	notbuy	notbuy	189.2078	190.0448
191.0756	12.1771	alone	n95.png	749	192.0760	3	194.5590	2	195.5804	buy	notbuy	201.5806	202.2126
203.2526	10.1522	alone	n79.jpg	1980	204.2530	3	205.9550	3	206.9847	buy	notbuy	211.9849	212.3575
213.4049	15.4988	alone	m6.png	45000	214.4050	3	220.2410	4	224.3152	notbuy	buy	227.3154	227.8763
228.9037	12.6686	alone	a48.png	250	229.9040	2	231.9710	2	236.0474	notbuy	notbuy	240.0476	240.5279
241.5722	16.8569	together	m56.png	2450	242.5720	2	244.8690	3	250.9997	buy	buy	256.9999	257.4066
258.4292	12.9686	together	a83.png	2380	259.4290	2	264.9020	3	265.9513	notbuy	notbuy	269.9515	270.3637
271.3978	13.3006	alone	a8.png	8000	272.3980	3	277.9710	1	278.9925	notbuy	notbuy	282.9927	283.6422
284.6983	9.2444	together	f178.jpg	408	285.6980	2	287.3910	3	288.4500	buy	buy	292.4502	292.8976
293.9428	12.1984	alone	a7.png	9000	294.9430	3	297.6630	2	298.6958	buy	notbuy	304.6960	305.1109
306.1411	8.9103	together	f76.jpg	890	307.1410	2	309.2980	2	310.3453	notbuy	notbuy	313.3454	313.7528
