onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.0737	9.2341	alone	a82.png	2900	0.0011	4	1.4001	1	3.5710	buy	buy	7.5712	8.2440
9.3079	11.7650	together	n61.jpg	325	0.0103	3	2.0453	2	13.4151	notbuy	buy	19.4153	19.9340
21.0729	10.9716	alone	f33.png	99	0.0221	1	2.4101	2	26.5087	notbuy	notbuy	30.5089	30.9469
32.0445	10.4909	alone	n71.png	3690	0.0330	3	2.9280	2	37.9901	notbuy	buy	40.9902	41.4688
42.5354	9.7050	alone	m82.jpg	390	0.0435	2	2.2515	2	46.7740	notbuy	buy	50.7742	51.1947
52.2403	13.1590	alone	f82.jpg	490	0.0532	2	3.5002	2	57.7256	notbuy	buy	63.7258	64.2996
65.3994	10.2487	together	m25.png	2430	0.0664	3	2.3984	2	69.7768	notbuy	buy	73.7770	74.5535
75.6481	12.9437	together	f124.jpg	1122	0.0766	2	3.3506	2	80.9740	notbuy	notbuy	86.9742	87.4796
88.5918	9.3613	together	f113.jpg	247	0.0896	2	2.6186	2	93.1558	notbuy	buy	96.1560	96.8693
97.9531	10.7958	together	n68.png	1080	0.0990	2	2.2660	2	103.1920	notbuy	notbuy	107.1922	107.6973
108.7489	11.7496	together	f118.jpg	1870	0.1097	3	2.3117	2	114.0261	notbuy	buy	119.0262	119.4261
120.4985	12.8520	alone	f46.png	299	0.1215	3	3.1795	1	125.5838	buy	buy	131.5840	132.2930
133.3505	10.8222	together	f70.jpg	39	0.1344	1	2.3644	2	137.6398	notbuy	buy	142.6399	143.1309
144.1727	11.7002	alone	f29.png	499	0.1452	3	2.2182	2	148.2664	notbuy	buy	154.2666	154.7768
155.8729	9.1360	alone	n55.png	680	0.1569	3	2.0159	2	159.7638	notbuy	buy	162.7640	163.9519
165.0089	10.4034	alone	m22.png	1180	0.1660	2	4.0560	2	170.9330	notbuy	buy	173.9332	174.3396
175.4123	12.4231	alone	n22.png	2975	0.1764	3	2.9444	2	180.2145	notbuy	buy	186.2147	186.7555
187.8354	11.4659	alone	f134.jpg	306	0.1888	3	3.0348	2	192.7271	notbuy	buy	197.7272	198.1934
199.3013	12.1674	alone	f158.jpg	4999	0.2003	3	2.2753	2	203.3967	notbuy	notbuy	209.3969	210.3893
211.4687	13.0905	together	n77.png	5300	0.2125	3	2.3135	2	216.6218	notbuy	notbuy	220.6220	223.4861
224.5592	12.7260	together	a61.png	470	0.2256	3	4.1996	1	230.5875	buy	buy	235.5877	236.1960
237.2852	9.4856	alone	f131.jpg	498	0.2383	3	3.1163	2	242.1935	notbuy	buy	245.1936	245.7240
246.7708	9.3411	together	a63.png	540	0.2478	4	3.0688	1	251.6535	buy	buy	254.6537	255.0531
256.1119	11.4033	together	f84.jpg	580	0.2571	3	3.0921	2	260.9991	notbuy	buy	265.9993	266.4317
267.5152	11.3621	alone	f164.jpg	1090	0.2685	4	2.0515	2	272.3492	notbuy	notbuy	277.3494	277.8177
278.8773	10.2996	together	a81.png	22980	0.2799	3	3.0239	2	284.6687	notbuy	buy	287.6689	288.1045
289.1769	10.4292	together	m106.jpg	990	0.2902	2	4.1532	2	295.0985	notbuy	notbuy	298.0986	298.5307
299.6062	13.8286	together	f161.jpg	2191	0.3006	2	3.4826	2	305.8477	notbuy	notbuy	311.8479	312.3844
313.4348	16.5652	alone	a47.png	240	0.3144	2	2.9384	2	318.1040	notbuy	buy	321.1042	321.6323
