onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
1.0682	14.0450	alone	m88.jpg	390	0.0021	2	4.2591	2	8.3859	notbuy	notbuy	13.3861	14.0624
15.1132	13.1707	together	f100.jpeg	1710	0.0161	1	3.8501	2	21.0165	notbuy	notbuy	26.0167	27.0082
28.2839	19.8556	together	n20.png	383	0.0293	2	3.1653	2	35.4872	notbuy	na	41.4889	42.0300
48.1395	23.2422	together	a65.png	570	0.0491	2	8.4811	2	58.6239	notbuy	na	64.6240	65.2727
71.3817	20.1718	alone	m37.jpg	1380	0.0724	2	3.3364	2	77.6827	notbuy	na	83.6841	84.4435
91.5536	9.3051	together	n42.png	399	0.0926	3	2.8116	2	96.3301	notbuy	notbuy	99.3303	99.8191
100.8587	11.6756	together	f20.png	460	0.1019	1	2.0289	2	106.8723	notbuy	notbuy	110.8724	111.2230
112.5343	23.5265	together	n91.png	329	0.1135	2	7.6845	2	122.1486	notbuy	na	128.1488	128.9538
136.0608	15.2612	together	a15.png	4500	0.1371	3	5.7761	2	143.7539	notbuy	notbuy	148.7540	149.2424
151.3221	8.8317	together	m105.jpg	990	0.1523	2	2.5153	2	155.7464	notbuy	notbuy	158.7466	159.1124
160.1538	11.5242	alone	f57.png	270	0.1612	2	2.9382	2	164.9651	notbuy	notbuy	168.9653	169.6411
171.6779	21.1981	alone	f48.jpg	180	0.1727	1	5.7327	2	179.2707	notbuy	na	185.2721	186.7648
192.8760	11.9470	together	a74.png	225	0.1939	3	2.6709	2	198.4138	notbuy	notbuy	202.4140	202.7826
204.8230	13.6586	alone	a27.png	2600	0.2058	2	4.8518	2	212.5131	notbuy	notbuy	216.5133	217.4433
218.4815	10.8105	together	f55.png	2050	0.2195	1	2.4245	2	222.7502	notbuy	notbuy	226.7503	227.2403
229.2921	13.5381	together	m78.jpg	590	0.2303	1	2.0913	2	234.2140	notbuy	notbuy	240.2154	240.7760
242.8302	9.7241	together	f183.jpg	390	0.2438	2	2.4348	2	247.0759	notbuy	notbuy	250.0760	250.5169
252.5542	14.9690	together	m62.png	265	0.2536	2	5.3686	2	259.7211	notbuy	notbuy	264.7213	266.4366
267.5232	11.7045	together	f204.jpg	990	0.2685	1	2.1925	2	271.5069	notbuy	notbuy	276.5070	276.9755
279.2277	14.9458	together	n25.png	742	0.2802	3	7.2652	1	288.2608	buy	buy	292.2609	293.1342
294.1735	13.2986	together	f63.png	750	0.2952	3	2.8592	2	299.7898	notbuy	notbuy	305.7911	306.4249
307.4721	12.5279	alone	f202.jpg	390	0.3085	2	3.3505	2	312.5430	notbuy	notbuy	316.5431	317.2118
